INT	STRING	INT	INT	INT	INT	INT	INT	INT
10522026	狼皮护腕	46	0	3488	0	0	0	0
10522023	虎皮护腕	34	0	3522	0	0	0	0
10522018	苍蟒护腕	23	0	3545	0	0	0	0
10522015	天璇护腕	11	0	3556	0	0	0	0
10522007	绢丝衣	57	0	3613	0	0	0	0
10522003	绫罗衣	57	0	3670	0	0	0	0
10521085	狼皮衣	46	0	3716	0	0	0	0
10521077	虎皮衣	34	0	3750	0	0	0	0
10521074	苍蟒衣	23	0	3773	0	0	0	0
10521067	天璇衣	11	0	3784	0	0	0	0
10521064	蓝宝项链	57	0	3841	0	0	0	0
10521062	太极护符	57	0	3898	0	0	0	0
10521058	云海链	46	0	3944	0	0	0	0
10521057	琥珀护符	34	0	3978	0	0	0	0
10521055	七情束	23	0	4001	0	0	0	0
10521047	情人泪	11	0	4012	0	0	0	0
10521044	如意腰带	57	0	4069	0	0	0	0
10521037	明蛟腰带	57	0	4126	0	0	0	0
10521017	北斗箍环	46	0	4172	0	0	0	0
10521014	天火环带	34	0	4206	0	0	0	0
10521007	混天环带	23	0	4229	0	0	0	0
10521004	神霄带	11	0	4240	0	0	0	0
10520084	银竹戒指	57	0	4297	0	0	0	0
10520078	百裂戒指	57	0	4354	0	0	0	0
10520066	如意戒指	46	0	4400	0	0	0	0
10520065	流影	34	0	4434	0	0	0	0
10520058	灵韵	23	0	4457	0	0	0	0
10520057	九宫	11	0	4468	0	0	0	0
10520048	刀斧打造图2级	28	0	4496	0	0	0	0
10520043	刀斧打造图3级	28	0	4524	0	0	0	0
10520036	刀斧打造图4级	23	0	4547	0	0	0	0
10520035	刀斧打造图5级	17	1	4564	0	0	0	0
10520028	刀斧打造图6级	11	1	4575	0	0	0	0
10520027	刀斧打造图7级	5	1	4580	0	0	0	0
10520018	枪棒打造图2级	28	0	4608	0	0	0	0
10520006	枪棒打造图3级	28	0	4636	0	0	0	0
10520005	枪棒打造图4级	23	0	4659	0	0	0	0
10515087	枪棒打造图5级	17	1	4676	0	0	0	0
10515085	枪棒打造图6级	11	1	4687	0	0	0	0
10515076	枪棒打造图7级	5	1	4692	0	0	0	0
10515066	单短打造图2级	28	0	4720	0	0	0	0
10515064	单短打造图3级	28	0	4748	0	0	0	0
10515057	单短打造图4级	23	0	4771	0	0	0	0
10515055	单短打造图5级	17	1	4788	0	0	0	0
10515046	单短打造图6级	11	1	4799	0	0	0	0
10515044	单短打造图7级	5	1	4804	0	0	0	0
10515036	双短打造图2级	28	0	4832	0	0	0	0
10515034	双短打造图3级	28	0	4860	0	0	0	0
10515027	双短打造图4级	23	0	4883	0	0	0	0
10515025	双短打造图5级	17	1	4900	0	0	0	0
10515016	双短打造图6级	11	1	4911	0	0	0	0
10515006	双短打造图7级	5	1	4916	0	0	0	0
10515004	扇打造图2级	28	0	4944	0	0	0	0
10514088	扇打造图3级	28	0	4972	0	0	0	0
10514085	扇打造图4级	23	0	4995	0	0	0	0
10514075	扇打造图5级	17	1	5012	0	0	0	0
10514077	扇打造图6级	11	1	5023	0	0	0	0
10514067	扇打造图7级	5	1	5028	0	0	0	0
10514063	环打造图2级	28	0	5056	0	0	0	0
10514058	环打造图3级	28	0	5084	0	0	0	0
10514055	环打造图4级	23	0	5107	0	0	0	0
10514047	环打造图5级	17	1	5124	0	0	0	0
10514045	环打造图6级	11	1	5135	0	0	0	0
10514037	环打造图7级	5	1	5140	0	0	0	0
10514033	帽子打造图2级	28	0	5168	0	0	0	0
10514028	帽子打造图3级	28	0	5196	0	0	0	0
10514025	帽子打造图4级	23	0	5219	0	0	0	0
10514017	帽子打造图5级	17	1	5236	0	0	0	0
10514015	帽子打造图6级	11	1	5247	0	0	0	0
10514007	帽子打造图7级	5	1	5252	0	0	0	0
10513088	衣服打造图2级	28	0	5280	0	0	0	0
10513084	衣服打造图3级	28	0	5308	0	0	0	0
10513078	衣服打造图4级	23	0	5331	0	0	0	0
10513068	衣服打造图5级	17	1	5348	0	0	0	0
10513064	衣服打造图6级	11	1	5359	0	0	0	0
10513054	衣服打造图7级	5	1	5364	0	0	0	0
10513048	护腕打造图2级	28	0	5392	0	0	0	0
10513044	护腕打造图3级	28	0	5420	0	0	0	0
10513038	护腕打造图4级	23	0	5443	0	0	0	0
10513034	护腕打造图5级	17	1	5460	0	0	0	0
10513028	护腕打造图6级	11	1	5471	0	0	0	0
10513024	护腕打造图7级	5	1	5476	0	0	0	0
10513018	鞋子打造图2级	28	0	5504	0	0	0	0
10513014	鞋子打造图3级	28	0	5532	0	0	0	0
10513008	鞋子打造图4级	23	0	5555	0	0	0	0
10513004	鞋子打造图5级	17	1	5572	0	0	0	0
10512086	鞋子打造图6级	11	1	5583	0	0	0	0
10512083	鞋子打造图7级	5	1	5588	0	0	0	0
10512077	项链打造图2级	28	0	5616	0	0	0	0
10512075	项链打造图3级	28	0	5644	0	0	0	0
10512056	项链打造图4级	23	0	5667	0	0	0	0
10512053	项链打造图5级	17	1	5684	0	0	0	0
10512047	项链打造图6级	11	1	5695	0	0	0	0
10512045	项链打造图7级	5	1	5700	0	0	0	0
10512038	戒指打造图2级	28	0	5728	0	0	0	0
10512033	戒指打造图3级	28	0	5756	0	0	0	0
10512026	戒指打造图4级	23	0	5779	0	0	0	0
10512017	戒指打造图5级	17	1	5796	0	0	0	0
10512015	戒指打造图6级	11	1	5807	0	0	0	0
10512008	戒指打造图7级	5	1	5812	0	0	0	0
10512003	腰饰打造图2级	28	0	5840	0	0	0	0
10511088	腰饰打造图3级	28	0	5868	0	0	0	0
10511085	腰饰打造图4级	23	0	5891	0	0	0	0
10511078	腰饰打造图5级	17	1	5908	0	0	0	0
10511076	腰饰打造图6级	11	1	5919	0	0	0	0
10511074	腰饰打造图7级	5	1	5924	0	0	0	0
10511067	竹箭	625	0	6549	0	0	0	0
10511064	牦牛角	625	0	7174	0	0	0	0
10511058	紫竹箭	500	0	7674	0	0	0	0
20109005	玉犀角	375	1	8049	0	0	0	0
20109006	湘妃箭	250	1	8299	0	0	0	0
20109007	浚云之角	125	1	8424	0	0	0	0
50201001	猫眼石（1级）	75	0	8499	0	0	0	0
50201002	虎眼石（1级）	75	0	8574	0	0	0	0
50202001	黄晶石（1级）	75	0	8649	0	0	0	0
50202002	蓝晶石（1级）	75	0	8724	0	0	0	0
50202003	红晶石（1级）	75	0	8799	0	0	0	0
50202004	绿晶石（1级）	75	0	8874	0	0	0	0
50203001	紫玉（1级）	75	0	8949	0	0	0	0
50204002	变石（1级）	75	1	9024	0	0	0	0
50211001	石榴石（1级）	75	0	9099	0	0	0	0
50211002	尖晶石（1级）	75	0	9174	0	0	0	0
50212001	黄玉（1级）	75	0	9249	0	0	0	0
50212002	皓石（1级）	75	0	9324	0	0	0	0
50212003	月光石（1级）	75	0	9399	0	0	0	0
50212004	碧玺（1级）	75	0	9474	0	0	0	0
50213001	黄宝石（1级）	75	0	9549	0	0	0	0
50213002	蓝宝石（1级）	75	0	9624	0	0	0	0
50213003	绿宝石（1级）	75	0	9699	0	0	0	0
50213004	红宝石（1级）	75	0	9774	0	0	0	0
50213005	黑宝石（1级）	75	0	9849	0	0	0	0
50214001	祖母绿（1级）	75	0	9924	0	0	0	0
10511048	相思红豆粥食谱	5	1	9929	0	0	0	0
10511046	水鸭润肺汤食谱	5	1	9934	0	0	0	0
10511044	核桃鸡丁食谱	5	1	9939	0	0	0	0
10511037	鱼香碎白肉食谱	5	1	9944	0	0	0	0
10511034	山椒醉鸡翅食谱	5	1	9949	0	0	0	0
10511028	黄油鲅鱼 食谱	5	1	9954	0	0	0	0
10511025	海带牛肉汤食谱	5	1	9959	0	0	0	0
10511018	干炸鲫鱼食谱	5	1	9964	0	0	0	0
10511016	木耳猪肉片食谱	5	1	9969	0	0	0	0
10511014	烤肉盖饭食谱	2	1	9971	0	0	0	0
10511007	煨烤鲑鱼食谱	2	1	9973	0	0	0	0
10511004	川肉丝食谱	2	1	9975	0	0	0	0
10510086	碗仔翅食谱	2	1	9977	0	0	0	0
10510077	盐煎肉食谱	2	1	9979	0	0	0	0
10510073	麻辣鸭胗食谱	2	1	9981	0	0	0	0
10510056	香菇滑鸡食谱	2	1	9983	0	0	0	0
10510053	翡翠双冬蹄膀食谱	2	1	9985	0	0	0	0
10510047	山椒蒸鲩鱼食谱	2	1	9987	0	0	0	0
10510038	冰龙丹药方	5	1	9992	0	0	0	0
10510036	龟甲散药方	5	1	9997	0	0	0	0
10510035	金雷丸药方	5	1	10002	0	0	0	0
10510026	五毒散药方	5	1	10007	0	0	0	0
10510017	仙丹冰澜药方	2	1	10009	0	0	0	0
10510008	仙丹避邪药方	2	1	10011	0	0	0	0
10510006	仙丹玄炎药方	2	1	10013	0	0	0	0
10510005	仙丹凤珠药方	2	1	10015	0	0	0	0
