INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT
20101008	2	1	1	8	Herbal1_16	Hoàng C¥m	V¸ ð¡ng, hàn, có tác døng thanh nhi®t, giäi ðµc, c¥m máu, an thai. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	4	1125	40	4	250	-1	-1	1	8	4	-1	-1	Dßþc Li®u Trung c¤p	4	0	2000	-1	0
20101009	2	1	1	9	Herbal1_9	C¦u KÖ	V¸ ng÷t, b± gan th§n, sáng m¡t, b± trþ s¡c di®n, làm xß½ng c¯t cÑng ch¡c. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	4	1125	40	4	250	-1	-1	1	8	4	-1	-1	Dßþc Li®u Trung c¤p	4	0	2000	-1	0
20101010	2	1	1	10	Herbal1_3	Tr¥m Hß½ng	V¸ cay, ð¡ng, ôn, giäm ðau, làm ¤m ngß¶i, ±n ð¸nh h½i th·. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	4	1375	40	4	250	-1	-1	1	8	4	-1	-1	Dßþc Li®u Trung c¤p	4	0	2000	-1	0
20101011	2	1	1	11	Herbal1_11	Ð² Tr÷ng	V¸ ng÷t h½i cay, ôn, chü tr¸ ðau lßng, möi g¯i, v.v. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	5	1375	50	4	250	-1	-1	1	8	5	-1	-1	Dßþc Li®u Trung c¤p	5	0	2000	-1	0
20101012	2	1	1	12	Herbal1_4	Thß½ng Thu§t	V¸ r¤t cay, tính ôn mà khô, có tác døng tr¸ cäm lÕnh, sáng m¡t. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	5	1375	50	4	250	-1	-1	1	8	5	-1	-1	Dßþc Li®u Trung c¤p	5	0	2000	-1	0
20101013	2	1	1	13	Herbal2_14	Phøc Linh	V¸ ng÷t, tính bình, có tác døng an th¥n. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	5	1625	50	4	250	-1	-1	1	8	5	-1	-1	Dßþc Li®u Trung c¤p	5	0	2000	-1	0
20101014	2	1	1	14	Herbal1_13	Phòng Phong	R­ có v¸ cay, ng÷t, tính ôn, có tác døng làm toát m° hôi, tr¸ cäm lÕnh. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	6	1625	60	4	250	-1	-1	1	8	6	-1	-1	Dßþc Li®u Trung c¤p	6	0	2000	-1	0
20101015	2	1	1	15	Herbal2_3	Hß½ng Nhu	V¸ cay, tính ôn, làm ra m° hôi, ði«u hòa khí huyªt. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	6	1625	60	4	250	-1	-1	1	8	6	-1	-1	Dßþc Li®u Trung c¤p	6	0	2000	-1	0
20101016	2	1	1	16	Herbal2_9	Hoàng Liên	V¸ ð¡ng, hàn, có tác døng giäi ðµc, thanh nhi®t. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	6	1875	60	4	250	-1	-1	1	8	6	-1	-1	Dßþc Li®u Trung c¤p	6	0	2000	-1	0
20101017	2	1	1	17	Herbal2_6	Ðß½ng Qui	V¸ ng÷t, cay, tính ôn, có tác døng b± khí huyªt, ði«u hòa kinh mÕch, giäm ðau. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	7	1875	70	4	250	-1	-1	1	8	7	-1	-1	Dßþc Li®u Cao c¤p	7	0	2000	-1	0
20101018	2	1	1	18	Herbal1_5	Quª Tâm	V¸ ð¡ng, cay, b± khí huyªt, sáng m¡t. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	7	1875	70	4	250	-1	-1	1	8	7	-1	-1	Dßþc Li®u Cao c¤p	7	0	2000	-1	0
20101019	2	1	1	19	Herbal2_1	Hß½ng Phø	V¸ cay, h½i ð¡ng, h½i ng÷t, tính bình, có tác døng giäm ðau. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	7	2125	70	4	250	-1	-1	1	8	7	-1	-1	Dßþc Li®u Cao c¤p	7	0	2000	-1	0
20101020	2	1	1	20	Herbal1_7	Ho¡c Hß½ng	V¸ cay, tính ôn, giúp tinh th¥n tïnh táo. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	8	2125	80	4	250	-1	-1	1	8	8	-1	-1	Dßþc Li®u Cao c¤p	8	0	2000	-1	0
20101021	2	1	1	21	Herbal2_4	H°i Th¥n Thäo	Thñc v§t có mùi hß½ng kÏ di®u. Có tác døng thanh nhi®t giäi ðµc. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	8	2125	80	4	250	-1	-1	1	8	8	-1	-1	Dßþc Li®u Cao c¤p	8	0	2000	-1	0
20101022	2	1	1	22	Herbal2_7	Thü Ô	R­ ð¡ng, chát, tính ôn, có tác døng b± gan th§n, ích huyªt, cß¶ng cân c¯t. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	8	2375	80	4	250	-1	-1	1	8	8	-1	-1	Dßþc Li®u Cao c¤p	8	0	2000	-1	0
20101023	2	1	1	23	Herbal1_15	Ðông Trùng HÕ Thäo	Ðông Trùng HÕ Thäo không phäi là thñc v§t mà là hþp th¬ cüa n¤m và côn trùng, ðßþc tìm th¤y trên vùng núi tuyªt cüa cao nguyên Thanh TÕng.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	9	2375	90	4	250	-1	-1	1	8	9	-1	-1	Dßþc Li®u Cao c¤p	9	0	2000	-1	0
20101024	2	1	1	24	Herbal1_5	Long Quì TØ	Trên vö có hoa vån hình r°ng. V¸ ð¡ng, tính hàn, h½i ðµc, có tác døng thanh nhi®t giäi ðµc. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	9	2625	90	4	250	-1	-1	1	8	9	-1	-1	Dßþc Li®u Cao c¤p	9	0	2000	-1	0
20101025	2	1	1	25	Herbal1_14	Tßþng B¯i	V¸ ð¡ng, tính hàn, chü tr¸ ho do cäm lÕnh, ðau ph±i, v.v. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	10	2625	100	4	250	-1	-1	1	8	10	-1	-1	Dßþc Li®u Cao c¤p	10	0	2000	-1	0
20101026	2	1	1	26	Herbal2_10	Nhân Sâm	Thäo dßþc trân quý. V¸ ng÷t, h½i ð¡ng, tính ôn, b± nguyên khí, an th¥n. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	10	2625	100	4	250	-1	-1	1	8	10	-1	-1	Dßþc Li®u Cao c¤p	10	0	2000	-1	0
20101027	2	1	1	27	Herbal2_11	Linh Chi	V¸ ng÷t, tính bình, không ðµc, có tác døng b± khí huyªt, giúp tâm trí tïnh táo,sáng su¯t. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	11	2875	110	4	250	-1	-1	1	8	11	-1	-1	Dßþc Li®u Cao c¤p	11	0	2000	-1	0
20101028	2	1	1	28	Herbal1_16	Tuân Thäo	Lá gi¯ng cây lan, quä màu ðö, làm sáng m¡t, dßÞng máu b± huyªt, chü tr¸ ðau ð¥u chóng m£t, gân c¯t m®t möi. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	11	2875	110	4	250	-1	-1	1	8	11	-1	-1	Dßþc Li®u Cao c¤p	11	0	2000	-1	0
20101029	2	1	1	29	Herbal2_6	Liên TØ	V¸ ng÷t, chát, tính bình, có tác døng ích khí, ngån chäy m° hôi, giúp tinh th¥n ph¤n ch¤n. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	12	3125	120	4	250	-1	-1	1	8	12	-1	-1	Dßþc Li®u Cao c¤p	12	0	2000	-1	0
20101030	2	1	1	30	Herbal1_16	Khô Mµc Xuân	Thäo dßþc vô s¡c vô v¸, cho vào nß¾c n¤u s½ s¨ tan ra. Có tác døng giäi ðµc, cäi tØ hoàn sinh. Có th¬ dùng làm thu¯c.#r#WÐªn ch² #RPhó ðß¶ng Quy #GÐÕi Lý [99,128]#W, #RTrß½ng Minh Cänh #GLÕc Dß½ng [136,165]#W, #RLan Tß LÕc Ð£c #GLâu Lan [30,186]#W, #RTß·ng Minh Hiên #GThúc Hà C± Tr¤n [189,146]#W ð¬ h÷c #GkÛ nång Chª Dßþc#W. Ngß¶i ch½i ðÕt ðªn c¤p #G30#W thì có th¬ h÷c ðßþc.	12	3125	120	4	250	-1	-1	1	8	12	-1	-1	Dßþc Li®u Cao c¤p	12	0	2000	-1	0
20102001	2	1	2	1	Fish_1	Thäo Ngß	Chü yªu ån cö nên còn có tên là cá tr¡m cö, có hai màu là xanh và tr¡ng, loÕi màu tr¡ng ån ngon. Có th¬ dùng ð¬ n¤u ån.#r#WÐªn ch² #RÐ² TØ Phi #GÐÕi Lý [116,156]#W, #RTrí Hóa #GTô Châu [189,173]#W và #RLý ÐÕi Chüy #GLÕc Dß½ng [134,152]#W ð¬ h÷c #GkÛ nång N¤u ån#W. Ngß¶i ch½i ðÕt c¤p #G1#W thì có th¬ h÷c ðßþc.	1	38	9	4	250	-1	-1	1	9	1	-1	-1	Ngß loÕi s½ c¤p	1	0	2000	-1	0
20102002	2	1	2	2	Fish_3	TÑc Ngß	Còn g÷i là cá HÖ Ð¥u, r¤t khöe, ån tÕp, thích s¯ng thành ðàn, thß¶ng nghï ng½i · ch² cö tÕp. Có th¬ dùng ð¬ n¤u ån.#r#WÐªn ch² #RÐ² TØ Phi #GÐÕi Lý [116,156]#W, #RTrí Hóa #GTô Châu [189,173]#W và #RLý ÐÕi Chüy #GLÕc Dß½ng [134,152]#W ð¬ h÷c #GkÛ nång N¤u ån#W. Ngß¶i ch½i ðÕt c¤p #G1#W thì có th¬ h÷c ðßþc.	2	42	10	4	250	-1	-1	1	9	2	-1	-1	Ngß loÕi s½ c¤p	2	0	2000	-1	0
20102003	2	1	2	3	Fish_9	Liên Ngß	Còn g÷i là BÕch Liên, thân d©t, lßng có màu xanh xám, hai bên và bøng có màu tr¡ng, ð¥u l¾n, m¡t n¢m · r¤t th¤p. Có th¬ dùng ð¬ n¤u ån.#r#WÐªn ch² #RÐ² TØ Phi #GÐÕi Lý [116,156]#W, #RTrí Hóa #GTô Châu [189,173]#W và #RLý ÐÕi Chüy #GLÕc Dß½ng [134,152]#W ð¬ h÷c #GkÛ nång N¤u ån#W. Ngß¶i ch½i ðÕt c¤p #G1#W thì có th¬ h÷c ðßþc.	3	102	25	4	250	-1	-1	1	9	3	-1	-1	Ngß loÕi s½ c¤p	3	0	2000	-1	0
20102004	2	1	2	4	Fish_8	Bình Ngß	Cá bi¬n thân d©t, ít xß½ng, th¸t m«m. Có th¬ dùng ð¬ n¤u ån.#r#WÐªn ch² #RÐ² TØ Phi #GÐÕi Lý [116,156]#W, #RTrí Hóa #GTô Châu [189,173]#W và #RLý ÐÕi Chüy #GLÕc Dß½ng [134,152]#W ð¬ h÷c #GkÛ nång N¤u ån#W. Ngß¶i ch½i ðÕt c¤p #G1#W thì có th¬ h÷c ðßþc.	4	184	46	4	250	-1	-1	1	9	4	-1	-1	Ngß loÕi trung c¤p	4	0	2000	-1	0
20102005	2	1	2	5	Fish_5	Thi®n Ngß	Khi nhi®t ðµ giäm xu¯ng, nó không ån cûng không cØ ðµng, r½i vào trÕng thái ngü ðông, h¤p thu vi lßþng ð¬ s¯ng. Có th¬ dùng ð¬ n¤u ån.#r#WÐªn ch² #RÐ² TØ Phi #GÐÕi Lý [116,156]#W, #RTrí Hóa #GTô Châu [189,173]#W và #RLý ÐÕi Chüy #GLÕc Dß½ng [134,152]#W ð¬ h÷c #GkÛ nång N¤u ån#W. Ngß¶i ch½i ðÕt c¤p #G1#W thì có th¬ h÷c ðßþc.	5	282	70	4	250	-1	-1	1	9	5	-1	-1	Ngß loÕi trung c¤p	5	0	2000	-1	0
20102006	2	1	2	6	Fish_10	H¡c Ngß	Còn g÷i là H¡c Ngß B±ng TØ, thuµc loÕi cá ån th¸t, là loài có hÕi ð¯i v¾i ngành nuôi cá. LoÕi cá này sinh nhi«u mau l¾n, tính tình hung dæ, nªu biªt cách có th¬ câu ðßþc nó d­ dàng. Có th¬ dùng ð¬ n¤u ån.#r#WÐªn ch² #RÐ² TØ Phi #GÐÕi Lý [116,156]#W, #RTrí Hóa #GTô Châu [189,173]#W và #RLý ÐÕi Chüy #GLÕc Dß½ng [134,152]#W ð¬ h÷c #GkÛ nång N¤u ån#W. Ngß¶i ch½i ðÕt c¤p #G1#W thì có th¬ h÷c ðßþc.	6	402	100	4	250	-1	-1	1	9	6	-1	-1	Ngß loÕi trung c¤p	6	0	2000	-1	0
