INT	INT	INT	STRING	INT	INT	INT	INT
10124072	-1	2005	-1	0	1	0	0
10124073	720	2005	-1	0	1	0	0
10124074	2160	2005	-1	0	1	0	0
10124075	-1	2005	-1	0	1	0	0
10124076	720	2005	-1	0	1	0	0
10124077	720	2005	-1	0	1	0	0
10124078	720	2005	-1	0	1	0	0
10124079	720	2005	-1	0	1	0	0
10124080	720	2005	-1	0	1	0	0
10124081	720	2005	-1	0	1	0	0
10124082	1440	2005	-1	0	1	0	0
10124083	720	2005	-1	0	1	0	0
10124084	2160	2005	-1	0	1	0	0
10124085	-1	2005	-1	0	1	0	0
10124086	4320	2005	-1	0	1	0	0
10124087	2160	2005	-1	0	1	0	0
10124088	2160	2005	-1	0	1	0	0
10124089	720	2005	-1	0	1	0	0
10124090	2160	2005	-1	0	1	0	0
10124091	-1	2005	-1	0	1	0	0
10124092	720	2005	-1	0	1	0	0
10124093	2160	2005	-1	0	1	0	0
10124094	-1	2005	-1	0	1	0	0
10124095	720	2005	-1	0	1	0	0
10124096	2160	2005	-1	0	1	0	0
10124097	-1	2005	-1	0	1	0	0
10124098	720	2005	-1	0	1	0	0
10124099	2160	2005	-1	0	1	0	0
10124100	-1	2005	-1	0	1	0	0
10124101	720	2005	-1	0	1	0	0
10124102	2160	2005	-1	0	1	0	0
10124103	-1	2005	-1	0	1	0	0
10124104	720	2005	-1	0	1	0	0
10124105	2160	2005	-1	0	1	0	0
10124106	-1	2005	-1	0	1	0	0
10124107	720	2005	-1	0	1	0	0
10124108	2160	2005	-1	0	1	0	0
10124109	-1	2005	-1	0	1	0	0
10124110	2160	2005	-1	0	1	0	0
10124111	168	2005	-1	0	1	0	0
10124112	720	2005	-1	0	1	0	0
10124113	-1	2005	-1	0	1	0	0
10124114	-1	2005	-1	0	1	0	0
10124115	-1	2005	-1	0	1	0	0
10124116	-1	2005	-1	0	1	0	0
10124117	-1	2005	-1	0	1	0	0
10124118	-1	2005	-1	0	1	0	0
10124119	-1	2005	-1	0	1	0	0
10124120	-1	2005	-1	0	1	0	0
10124121	-1	2005	-1	0	1	0	0
10124122	24	2005	-1	0	1	0	0
10124123	24	2005	-1	0	1	0	0
10124124	720	2005	-1	0	1	0	0
10124125	2160	2005	-1	0	1	0	0
10124126	-1	2005	-1	0	1	0	0
10124127	720	2005	-1	0	1	0	0
10124128	2160	2005	-1	0	1	0	0
10124129	-1	2005	-1	0	1	0	0
10124130	720	2005	-1	0	1	0	0
10124131	720	2005	-1	0	1	0	0
10124132	2160	2005	-1	0	1	0	0
10124133	-1	2005	-1	0	1	0	0
10124134	720	2005	-1	0	1	0	0
10124135	720	2005	-1	0	1	0	0
10124136	2160	2005	-1	0	1	0	0
10124137	-1	2005	-1	0	1	0	0
10124138	720	2005	-1	0	1	0	0
10124139	2160	2005	-1	0	1	0	0
10124140	-1	2005	-1	0	1	0	0
10124141	168	2005	-1	0	1	0	0
10124142	720	2005	-1	0	1	0	0
10124143	720	2005	-1	0	1	0	0
10124144	720	2005	-1	0	1	0	0
10124145	720	2005	-1	0	1	0	0
10124146	720	2005	-1	0	1	0	0
10124147	720	2005	-1	0	1	0	0
10124148	720	2005	-1	0	1	0	0
10124149	720	2005	-1	0	1	0	0
10124150	720	2005	-1	0	1	0	0
10124151	720	2005	-1	0	1	0	0
10124152	72	2005	-1	0	1	0	0
10124153	168	2005	-1	0	1	0	0
10124154	720	2005	-1	0	1	0	0
10124155	2160	2005	-1	0	1	0	0
10124156	-1	2005	-1	0	1	0	0
10124157	168	2005	-1	0	1	0	0
10124158	240	2005	-1	0	1	0	0
10124159	240	2005	-1	0	1	0	0
10124160	240	2005	-1	0	1	0	0
10124161	168	2005	-1	0	1	0	0
10124162	720	2005	-1	0	1	0	0
10124163	2160	2005	-1	0	1	0	0
10124164	-1	2005	-1	0	1	0	0
10124165	24	2005	-1	0	1	0	0
10124166	24	2005	-1	0	1	0	0
10124167	24	2005	-1	0	1	0	0
10124168	24	2005	-1	0	1	0	0
10124169	24	2005	-1	0	1	0	0
10124170	24	2005	-1	0	1	0	0
10124171	24	2005	-1	0	1	0	0
10124172	72	2005	-1	0	1	1	0
10124173	720	2005	-1	0	1	0	0
10124174	2160	2005	-1	0	1	0	0
10124175	-1	2005	-1	0	1	0	0
10124176	720	2005	-1	0	1	0	0
10124177	2160	2005	-1	0	1	0	0
10124178	-1	2005	-1	0	1	0	0
10124179	72	2005	-1	0	1	0	0
10124180	720	2005	-1	0	1	0	0
10124181	336	2005	-1	0	1	0	0
10124182	336	2005	-1	0	1	0	0
10124187	168	2005	-1	0	1	0	0
10124188	720	2005	-1	0	1	0	0
10124189	2160	2005	-1	0	1	0	0
10124190	-1	2005	-1	0	1	0	0
10124193	168	2005	-1	0	1	0	0
10124194	720	2005	-1	0	1	0	0
10124195	2160	2005	-1	0	1	0	0
10124196	-1	2005	-1	0	1	0	0
10124201	-1	2005	-1	0	1	0	0
10124268	720	2005	-1	0	1	0	0
10124269	2160	2005	-1	0	1	0	0
10124270	-1	2005	-1	0	1	0	0
10124271	720	2005	-1	0	1	0	0
10124272	2160	2005	-1	0	1	0	0
10124273	-1	2005	-1	0	1	0	0
10124274	720	2005	-1	0	1	0	0
10124275	2160	2005	-1	0	1	0	0
10124276	-1	2005	-1	0	1	0	0
10124280	720	2005	-1	0	1	0	0
10124281	2160	2005	-1	0	1	0	0
10124282	-1	2005	-1	0	1	0	0
10141041	2160	2005	-1	0	1	0	0
10141042	840	2005	-1	0	1	0	0
10141043	2160	2005	-1	0	1	0	0
10141044	2160	2005	-1	0	1	0	0
10141045	2160	2005	-1	0	1	0	0
10141046	2160	2005	-1	0	1	0	0
10141047	2160	2005	-1	0	1	0	0
10141048	2160	2005	-1	0	1	0	0
10141049	2160	2005	-1	0	1	0	0
10141052	-1	2005	-1	0	1	0	0
10141053	-1	2005	-1	0	1	0	0
10141054	-1	2005	-1	0	1	0	0
10141055	-1	2005	-1	0	1	0	0
10141056	-1	2005	-1	0	1	0	0
10141057	-1	2005	-1	0	1	0	0
10141058	-1	2005	-1	0	1	0	0
10141059	-1	2005	-1	0	1	0	0
10141060	2160	2005	-1	0	1	0	0
10141061	2160	2005	-1	0	1	0	0
10141062	2160	2005	-1	0	1	0	0
10141063	2160	2005	-1	0	1	0	0
10141064	2160	2005	-1	0	1	0	0
10141065	2160	2005	-1	0	1	0	0
10141066	-1	2005	-1	0	1	0	0
10141067	-1	2005	-1	0	1	0	0
10141068	-1	2005	-1	0	1	0	0
10141069	-1	2005	-1	0	1	0	0
10141070	-1	2005	-1	0	1	0	0
10141071	-1	2005	-1	0	1	0	0
10141072	4320	2005	-1	0	1	0	0
10141073	4320	2005	-1	0	1	0	0
10141074	4320	2005	-1	0	1	0	0
10141075	4320	2005	-1	0	1	0	0
10141076	4320	2005	-1	0	1	0	0
10141077	4320	2005	-1	0	1	0	0
10141078	4320	2005	-1	0	1	0	0
10141079	4320	2005	-1	0	1	0	0
10141080	4320	2005	-1	0	1	0	0
10141081	2160	2005	-1	0	1	0	0
10141082	4320	2005	-1	0	1	0	0
10141083	-1	2005	-1	0	1	0	0
10141084	2160	2005	-1	0	1	0	0
10141085	4320	2005	-1	0	1	0	0
10141086	-1	2005	-1	0	1	0	0
10141087	2160	2005	-1	0	1	0	0
10141088	4320	2005	-1	0	1	0	0
10141089	-1	2005	-1	0	1	0	0
10141090	720	2005	-1	0	1	0	0
10141091	2160	2005	-1	0	1	0	0
10141092	-1	2005	-1	0	1	0	0
10141093	2160	2005	-1	0	1	0	0
10141094	4320	2005	-1	0	1	0	0
10141095	-1	2005	-1	0	1	0	0
10141102	2160	2005	-1	0	1	0	0
10141103	4320	2005	-1	0	1	0	0
10141104	-1	2005	-1	0	1	0	0
10141105	168	2005	-1	0	1	0	0
10141106	168	2005	-1	0	1	0	0
10141107	168	2005	-1	0	1	0	0
10141108	168	2005	-1	0	1	0	0
10141109	168	2005	-1	0	1	0	0
10141110	168	2005	-1	0	1	0	0
10141111	2160	2005	-1	0	1	0	0
10141112	4320	2005	-1	0	1	0	0
10141113	-1	2005	-1	0	1	0	0
10141114	720	2005	-1	0	1	0	0
10141115	720	2005	-1	0	1	0	0
10141116	2160	2005	-1	0	1	0	0
10141117	4320	2005	-1	0	1	0	0
10141118	-1	2005	-1	0	1	0	0
10141119	720	2005	-1	0	1	0	0
10141120	720	2005	-1	0	1	0	0
10141121	168	2005	-1	0	1	0	0
10141122	2160	2005	-1	0	1	0	0
10141123	4320	2005	-1	0	1	0	0
10141124	-1	2005	-1	0	1	0	0
10141125	2160	2005	-1	0	1	0	0
10141126	4320	2005	-1	0	1	0	0
10141127	-1	2005	-1	0	1	0	0
10141128	2160	2005	-1	0	1	0	0
10141129	4320	2005	-1	0	1	0	0
10141130	-1	2005	-1	0	1	0	0
10141131	720	2005	-1	0	1	0	0
10141132	720	2005	-1	0	1	0	0
10141133	720	2005	-1	0	1	0	0
10141134	72	2005	-1	0	1	0	0
10141135	72	2005	-1	0	1	0	0
10141136	720	2005	-1	0	1	0	0
10141137	2160	2005	-1	0	1	0	0
10141138	4320	2005	-1	0	1	0	0
10141139	-1	2005	-1	0	1	0	0
10141140	720	2005	-1	0	1	0	0
10141141	2160	2005	-1	0	1	0	0
10141142	4320	2005	-1	0	1	0	0
10141143	-1	2005	-1	0	1	0	0
10141144	336	2005	-1	0	1	0	0
10141145	720	2005	-1	0	1	0	0
10141146	720	2005	-1	0	1	0	0
10141147	2160	2005	-1	0	1	0	0
10141148	4320	2005	-1	0	1	0	0
10141149	-1	2005	-1	0	1	0	0
10141151	720	2005	-1	0	1	0	0
10141152	720	2005	-1	0	1	0	0
10141153	2160	2005	-1	0	1	0	1
10141154	4320	2005	-1	0	1	0	0
10141155	-1	2005	-1	0	1	0	0
10141156	720	2005	-1	0	1	0	0
10141157	2160	2005	-1	0	1	0	1
10141158	4320	2005	-1	0	1	0	0
10141159	-1	2005	-1	0	1	0	0
10141160	720	2005	-1	0	1	0	0
10141161	2160	2005	-1	0	1	0	1
10141162	4320	2005	-1	0	1	0	0
10141163	-1	2005	-1	0	1	0	0
10141164	720	2005	-1	0	1	0	0
10141165	2160	2005	-1	0	1	0	1
10141166	4320	2005	-1	0	1	0	0
10141167	-1	2005	-1	0	1	0	0
10141168	720	2005	-1	0	1	0	0
10141169	2160	2005	-1	0	1	0	1
10141170	4320	2005	-1	0	1	0	0
10141171	-1	2005	-1	0	1	0	0
10141172	720	2005	-1	0	1	0	0
10141173	2160	2005	-1	0	1	0	1
10141174	4320	2005	-1	0	1	0	0
10141175	-1	2005	-1	0	1	0	0
10141176	720	2005	-1	0	1	0	0
10141177	2160	2005	-1	0	1	0	1
10141178	4320	2005	-1	0	1	0	0
10141179	-1	2005	-1	0	1	0	0
10141180	720	2005	-1	0	1	0	0
10141181	2160	2005	-1	0	1	0	1
10141182	4320	2005	-1	0	1	0	0
10141183	-1	2005	-1	0	1	0	0
10141184	720	2005	-1	0	1	0	0
10141185	2160	2005	-1	0	1	0	1
10141186	4320	2005	-1	0	1	0	0
10141187	-1	2005	-1	0	1	0	0
10141188	72	2005	-1	0	1	0	0
10141189	720	2005	-1	0	1	0	0
10141190	2160	2005	-1	0	1	0	0
10141191	4320	2005	-1	0	1	0	0
10141192	-1	2005	-1	0	1	0	0
10141193	336	2005	-1	0	1	0	0
10141194	720	2005	-1	0	1	0	0
10141195	2160	2005	-1	0	1	0	0
10141196	4320	2005	-1	0	1	0	0
10141197	-1	2005	-1	0	1	0	0
10141198	720	2005	-1	0	1	0	0
10141199	2160	2005	-1	0	1	0	0
10141200	4320	2005	-1	0	1	0	0
10141201	-1	2005	-1	0	1	0	0
10141202	720	2005	-1	0	1	0	0
10141203	720	2005	-1	0	1	0	0
10141204	168	2005	-1	0	1	0	0
10141208	720	2005	-1	0	1	0	0
10141247	720	2005	-1	0	1	0	0
10141248	2160	2005	-1	0	1	0	0
10141249	4320	2005	-1	0	1	0	0
10141250	-1	2005	-1	0	1	0	0
10141293	720	2005	-1	0	1	0	0
10141294	2160	2005	-1	0	1	0	0
10141295	4320	2005	-1	0	1	0	0
10141296	-1	2005	-1	0	1	0	0
10141297	720	2005	-1	0	1	0	0
10141298	2160	2005	-1	0	1	0	0
10141299	4320	2005	-1	0	1	0	0
10141300	-1	2005	-1	0	1	0	0
10141325	720	2005	-1	0	1	0	0
10141330	720	2005	-1	0	1	0	0
10141800	-1	2005	-1	0	1	0	0
10141801	720	2005	-1	0	1	0	0
10141802	-1	2005	-1	0	1	0	0
10141803	72	2005	-1	0	1	0	0
10141805	168	2005	-1	0	1	0	0
10141808	720	2005	-1	0	1	0	0
10141836	2160	2005	-1	0	1	0	0
10141837	720	2005	-1	0	1	0	0
10141838	720	2005	-1	0	1	0	0
10141839	2160	2005	-1	0	1	0	0
10141842	720	2005	-1	0	1	0	0
10141843	2160	2005	-1	0	1	0	0
10141844	-1	2005	-1	0	1	0	0
10300000	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10300001	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10300002	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10300003	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10300004	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10300005	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10300006	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10300007	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10300100	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10300101	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10300102	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10300103	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10300104	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10300105	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10300106	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10300107	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10300108	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10300109	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10300110	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10300111	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10301000	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10301001	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10301100	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10301101	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10301102	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10301103	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10301104	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10301105	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10301106	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10301107	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10301108	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10301109	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10301110	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10301111	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10301198	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10301199	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Hung Hång"	0	1	0	0
10301200	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10301201	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10301202	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10301203	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10301204	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10301205	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10301206	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10301207	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10301208	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10301209	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10301210	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng b¸ giäm t¯c	0	1	0	0
10301211	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10302000	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302001	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302002	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302003	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302004	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302005	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302006	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302007	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302008	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302009	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10302100	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10302101	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút khí cüa ð¯i phß½ng	0	1	0	0
10302102	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10302103	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10302104	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút khí cüa ð¯i phß½ng	0	1	0	0
10302105	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10302106	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10302107	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút khí cüa ð¯i phß½ng	0	1	0	0
10302108	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10302109	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10302110	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút khí cüa ð¯i phß½ng	0	1	0	0
10302111	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10303000	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10303001	-1	-1	#c00ff00 Trang b¸: sau khi ðánh trúng ð¯i phß½ng s¨ có tÖ l® bµc phát "Súc lñc"	0	1	0	0
10303100	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10303101	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10303102	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10303103	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10303104	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10303105	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
10303106	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® hút máu cüa ð¯i phß½ng	0	1	0	0
10303107	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái suy nhßþc	0	1	0	0
10303108	-1	-1	#c00ff00Trang b¸: khi ðánh trúng có tÖ l® khiªn ð¯i phß½ng r½i vào trÕng thái phá trán	0	1	0	0
