INT	INT	INT	STRING	STRING
27	10	4	Ðánh r¾t th¶i trang ð° tß¶ng · Yªn vß½ng c± mµ	#W&U #PTrong Yªn Vß½ng C± Mµ dûng khí vô thß¶ng, tä xung hæu ðµt khiªn ðám ti¬u yêu chÕy tán loÕn, và b²ng nhiên th¤y #W&I #Pcòn sót lÕi tÕi hi®n trß¶ng.
28	10	4	Ðánh r¾t th¶i trang ð° tß¶ng · Yªn vß½ng c± mµ	#W&U #Pðang tò mò thám hi¬m trong Yªn Vß½ng C± Mµ, b²ng nhiên mµt lu°ng gió mÕnh §p t¾i, và vô tình th¤y #W&I #Pbay l½ lØng trong gió, r°i b²ng r¾t ngay trß¾c m£t#W&U#P.
29	11	4	Ðàn BOSS Nga My	#{_BOSS9} #PðÕi bÕi tÕi Võ Di, khó lòng thoát khöi, bèn giao lÕi #W&I #Pcho #W&U #Pð¬ ð±i l¤y con ðß¶ng s¯ng, th§t thäm hÕi.
30	12	4	Ðàn BOSS Thäo Nguyên	#W&U #Pxu¤t thª d©p loÕn Thäo Nguyên, ðánh tan sào huy®t cüa #{_BOSS11} #P,trong lúc thu d÷n hi®n trß¶ng b²ng nhiên phát hi®n ra #W&I#P !
31	13	4	Ðàn BOSS Kim Cß½ng	#{_BOSS7} #PðÕi bÕi tÕi Thß½ng S½n, khó lòng thoát khöi, bèn giao lÕi #W&I #Pcho #W&U #Pð¬ ð±i l¤y con ðß¶ng s¯ng, th§t thäm hÕi.
32	14	4	Ðàn Boss Tru Cáp	#{_BOSS5} #Pkhông ng¶ ðßþc #W&U #Puy lñc hùng mÕnh nhß v§y, ðành ch¸u thua và giao trä lÕi #W&I #P.
33	15	4	Huy«n vû Ðäo phi thiên miêu	#{_BOSS3} #Pnh¤t th¶i hoäng loÕn, tß·ng ð¯i phß½ng là h÷c trò, bèn l¤y ra #W&I #Pgiao cho #W&U#P, còn d£n dò: Hãy nh¾ giæ quy¬n sách này hµ ta !
34	15	4	Huy«n vû Ðäo phi thiên miêu	#{_BOSS3} #Pnh¤t th¶i hoäng loÕn, tß·ng ð¯i phß½ng là bÕn hi«n, bèn l¤y ra #W&I #Pgiao cho #W&U#P, còn d£n dò: Hãy giæ kî ð×ng giao cho ai khác !
35	15	4	Huy«n vû Ðäo phi thiên miêu	#{_BOSS3} #Pnh¤t th¶i hoäng loÕn, tß·ng ð¯i phß½ng là ngß¶i nhà, bèn l¤y ra #W&I #Pgiao cho #W&U#P, còn d£n dò: Hãy giæ kî ð×ng giao cho ai khác !
36	16	4	Yªn tØ ± ðoàn diên khánh r¾t ra	#W&U#P và #{_BOSS2} #Pso tài cao th¤p, biªt không th¬ là ð¯i thü, #{_BOSS2} ðành phäi l¤y ra ra #W&I #Pvà ch¸u thua.
37	16	4	Yªn tØ ± ðoàn diên khánh r¾t ra	#W&U #Pðang cùng #{_BOSS2}#P chiªn ð¤u sinh tØ, b²ng nhiên có mµt cô gái áo tr¡ng tóc dài di ngang qua, #{_BOSS2} quä nhiên hai m¡t sáng rÞ, lúng ta lúng túng v¤p té, r¾t ra #W&I #Pmà không h« hay biªt.
38	17	4	Yªn tØ ± khßu ma chí ðánh r¾t	#W&U #Pðánh #{_BOSS1} #Pmµt ðòn chí mÕng phäi ngã quÜ, n¡m c± áo và nói: Nþ mà ngß½i thiªu ta bao gi¶ m¾i trä hªt ! #{_BOSS1} gßþng mình ðÑng d§y, l¤y ra ra #W&I #Pgiao lÕi cho #W&U.
39	17	4	Yªn tØ ± khßu ma chí ðánh r¾t	#W&U #Pcùng ð°ng ðµi ðánh #{_BOSS1} #Pngã quÜ xu¯ng ð¤t, b¤t di b¤t d¸ch, #{_BOSS1} chï biªt cß¶i trong ðau ð¾n, cam tâm giao #W&I #Pð¬ giæ lÕi mÕng s¯ng.
40	18	4	Yªn tØ ± mµ dung phøc ðánh r¾t	#W&U #Pðang quyªt ð¤u tr§n sinh tØ v¾i #{_BOSS0}, #Pbèn hô to: huynh ð® ðâu, tiªn lên ! #{_BOSS0} nghe mà kinh hoàng, trong lúc tr¯n chÕy còn r¾t ra #W&I #Psau lßng mà không biªt.
41	18	4	Yªn tØ ± mµ dung phøc ðánh r¾t	#W&U #Pquä nhiên võ công thâm h§u, uy lñc khó lß¶ng, ðã khiªn #{_BOSS0} #PquÏ xu¯ng xin tha mÕng, hai tay giao trä lÕi #W&I#P.
42	19	4	Liên hoàn phø bän ðánh r¾t nguyên li®u th¥n	#W&U #Pðang kéo thi th¬ #{_BOSS47} #Pra ngoài, b²ng nhiên phát hi®n th¤y #W&I#P.
43	19	4	Liên hoàn phø bän ðánh r¾t nguyên li®u th¥n	#{_BOSS47}#Ptñ minh biªt không phäi là ð¯i thü cüa #W&U#P, bèn giao trä lÕi #W&I#P và xin tha mÕng.
44	20	4	Bäo tàng ðµng ðánh r¾t nguyên li®u th¥n	#W&U #PtÕi #G&S #Pnhi®t tình chiªn ð¤u v¾i #{_BOSS23}#P, cu¯i cùng ðã giành ðÕi th¡ng, xÑng ðáng nh§n ðßþc #W&I#P.
45	21	4	Cái bang t±ng ðà ðánh r¾t nguyên li®u th¥n	#G&S#P, #{_BOSS50}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
46	22	4	Nga my s½n ðánh r¾t nguyên li®u th¥n	#G&S#P, #{_BOSS51}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
47	23	4	Quang Minh Ði®n r¾t ra th¥n tài	#G&S#P, #{_BOSS52}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
48	24	4	Thiªu lâm tñ ðánh r¾t nguyên li®u th¥n	#G&S#P, #{_BOSS53}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
49	25	4	Tinh túc häi ðánh r¾t nguyên li®u th¥n	#G&S#P, #{_BOSS54}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
50	26	4	Linh thÑu phong ðánh r¾t nguyên li®u th¥n	#G&S#P, #{_BOSS55}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
51	27	4	Võ ðang s½n ðánh r¾t nguyên li®u th¥n	#G&S#P, #{_BOSS56}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
52	28	4	Lång ba ðµng ðánh r¾t nguyên li®u th¥n	#G&S#P, #{_BOSS57}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
53	29	4	Thiên long tñ ðánh r¾t nguyên li®u th¥n	#G&S#P, #{_BOSS58}#P b¸ #W&U #Pt¤n công t¾i t¤p, ð¸nh gi½ ra #W&I #Pð¬ ðÞ ðòn, nào ng¶ b¸ #W&U #Pcß¾p ngay trên tay.
54	30	4	Toàn cãnh Boss ðánh r¾t nguyên li®u th¥n	#G&S#P, sau khi ðÕi chiªn h½n 300 hi®p, #{_BOSS14} #Pcäm th¤y quá v¤t vä ðành quay lßng tr¯n chÕy và nói:  #W&U#P ! Khá khen cho höa kháng cüa ngß½i ! Hi®n tÕi ta không th¬ ðánh tiªp, v§y #W&I #Pngß½i xÑng ðáng ðßþc nh§n !
55	31	4	Bang phái phø bän ðánh r¾t nguyên li®u th¥n	#W&U #Pd¯c sÑc tiêu di®t #{_BOSS43}#P, cu¯i cùng cûng giành ðßþc th¡ng lþi vë vang, ngoài ra còn l¤y ðßþc #W&I#P.
56	32	4	Ác bá ðánh r¾t	#W&U #Pchiªn ð¤u dûng mãnh v¾i #{_BOSS29}#P, kªt quä là #{_BOSS29} #ðu¯i sÑc quÏ xu¯ng và nói: ÐÕi hi®p ! Tha cho ta con ðß¶ng s¯ng, thì &I #Pnày s¨ thuµc v« ðÕi hi®p !
57	32	4	Ác bá ðánh r¾t	#{_BOSS29} #Pb¸ ðánh t¾i t¤p, bèn quay lßng tr¯n chÕy và nói: Bão táp ghê quá ! H©n l¥n sau v§y ! Khi mãi chÕy không biªt là ðã r¾t mµt cái túi nhö,  #W&U #Pm· túi ra xem, thì ra là #cB3DB35&I#P.
58	32	4	Ác bá ðánh r¾t	#W&U #PlÕnh lùng ð¯i m£t v¾i #{_BOSS29}#P, cä hai ð°ng th¶i xu¤t chiêu, #W&U #Pkhiªn #{_BOSS29} #Pphäi ngã quÜ xu¯ng, ð°ng th¶i ðoÕt ðßþc #cB3DB35&I#P.
59	33	4	Bäo sß½ng ð°ng tØ ðánh r¾t	#G&S#P,  #W&U #Ptrong cuµc rßþt ðu±i ð¥y khó khån, cu¯i cùng cûng b¡t ðßþc #{_BOSS61}#P tinh quái, và nh§n ðßþc thành quä là #W&I #P.
60	34	4	Long Quy	#GThánh Thú S½n #Pmang vë ð©p hæu tình, #{_BOSS44} #Pr¤t thích mang theo trÑng Long Quy ngao du kh¡p n½i, không h« biªt nãy gi¶ có ngß¶i rình r§p sau lßng,phát hi®n ra thì ðã muµn #W&U #ðã ôm tr÷n #W&I #Pcao chay xa bay.
61	35	4	Anh Chiêu	#W&U #Pnghe ð°n trong Yªn TØ ‘ có xu¤t hi®n thßþng c± th¥n thú Anh Chiêu, ðã kêu g÷i anh hùng góp sÑc ðánh bÕi #{_BOSS0}#P, #{_BOSS0}#P hªt cách ðành hai tay ðßa ra #W&I#P.
62	36	4	Hàn Ng÷c C¯c Hùng	#G Tô Châu (271,222)#Y L®nh H° Xung#P m¶i tham gia Cuµc Ðua Hàn Ng÷c C¯c. Trong thi ð¤u, #{_BOSS62}do th¬ tr÷ng quá l¾n, ðem#W&I#P trên m£t ð¤t, phát ðµng xung kích. Vçn không ð¸ch lÕi#W&U#P Lång Ba Vi Bµ!
63	37	4	Hàn Ng÷c C¯c Th¯	#W&U#PÐªn#G Tô Châu (271,222)#Y L®nh H° Xung#P biªt ðßþc#{_BOSS64}· Hàn Ng÷c C¯c, thª là canh lúc h¡n ngü trßa, ðÕp mµt phát "t¯i tåm m£t mûi". Ðßþc 1#W&I#P.
64	38	4	Hàn Ng÷c C¯c Áp	#W&U#P Khoái Ý Ân C×u, Thiên Lý T§t Trì, ðªn#G Tô Châu (271,222)#Y L®nh H° Xung#P giúp ðÞ, mµt chß·ng khiªn#{_BOSS63} b©p mõm. Ðßþc 1#W&I#P.
65	39	4	Trß¶ng BÕch S½n 	#W&U #Pðang #G&S#Ptìm nhân sâm kh¡p n½i, b²ng ngÕc nhiên phát hi®n ra#W&I#P, vui m×ng tµt ðµ.
66	39	4	Trß¶ng BÕch S½n 	#W&U #Pðã c¯ g¡ng b¤y lâu nay, tß·ng ch×ng m®t möi mu¯n bö cuµc #G&S#P, v¾i ngh¸ lñc phi thß¶ng cu¯i cùng cûng ðÕt ðßþc #W&I#P, nên tâm trÕng vui m×ng khôn tä.
67	41	4	Bang phái trú ð¸a r½i ra	#PSau khi ðánh bÕi S½n Th¥n, #W&U #Pnhanh chóng thu d÷n hi®n trß¶ng, ðang tìm dß¾i d¤u chân to l¾n cüa S½n Th¥n, b²ng phát hi®n có v§t gì l¤p lánh lung linh, hªt sÑc ngÕc nhiên, thì ra chính là #W&I#P.
68	42	4	Phiêu Mi­u Phong r½i ra nguyên li®u ðáng giá	#W&U #Pquyªt chiªn m®t möi trong Phiêu Mi­u Phong, nhi«u l¥n ðÕi nÕn thoát chªt mà vçn không th¤y quy¬n võ lâm bí t¸ch nào, may thay tr¶i không phø lòng ngß¶i, tìm th¤y ðßþc #W&I#P, xem nhß không u±ng công lâu nay !
69	43	4	Phiêu Mi­u Phong r½i ra Th¥n Tiªt	#W&U #PtÕi Phiêu Mi­u Phong b²ng phát hi®n mµt næ t£c trong tay ðang c¥m báu v§t bí ¦n, bèn hô to: có thích khách ! Næ t£c lúng túng quay lßng tr¯n chÕy r¾t cä báu v§t, lÕi g¥n thì phát hi®n quä nhiên là #W&I#P
70	44	4	Phiêu Mi­u Phong r½i ra Hàn Ng÷c	#PMây mßa s¤m sét dày ð£c kh¡p khu vñc Phiêu Mi­u Phong, #W&U #Pðang tìm ch² tÕm trú qua c½n mßa vô tình phát hi®n ra ánh sáng l¤p lánh t× phía cu¯i góc tß¶ng, thì ra là #W&I#P.
71	45	4	Bäo v® bang phái r½i ra Thiên Cang	#PSau khi ðánh bÕi S½n Th¥n, #W&U #Pnhanh chóng thu d÷n hi®n trß¶ng, ðang tìm dß¾i d¤u chân to l¾n cüa S½n Th¥n, b²ng phát hi®n có v§t gì l¤p lánh lung linh, hªt sÑc ngÕc nhiên thì ra chính là #W&I#P.
72	46	4	Bäo v® bang phái phái r½i ra TrÑng Trân Thú	#W&U #Pðang ði tu¥n tra qua lÕi trong thành th¸, b²ng nhiên có mµt âm thanh ch¤n ðµng t× phía xa, lÕi g¥n m¾i phát hi®n thì ra là #W&I#P, th§t b¤t ng¶ khó tä.
73	47	4	T¥n Hoàng Ð¸a Cung	#W&U #Pnghênh chiªn v¾i #{_BOSS78} #PtÕi T¥n Hoàng Ð¸a Cung T¥ng 1, khí thª h×ng hñc, v¾i uy lñc thâm h§u cüa mình và ð°ng ðµi, cu¯i cùng ðã ðoÕt ðßþc #W&I.
74	48	4	T¥n Hoàng Ð¸a Cung	#W&U #Pnghênh chiªn v¾i #{_BOSS79}#P · T¥n Hoàng Ð¸a Cung T¥ng 2, càng ðánh càng hång, nh¶ võ công thâm h§u cüa mình, cu¯i cûng ðã giành chiªn th¡ng vë vang, xÑng ðáng nh§n ðßþc #W&I.
75	49	4	T¥n Hoàng Ð¸a Cung	#PTÕi T¥n Hoàng Ð¸a Cung T¥ng 3, #{_BOSS80} cäm th¤y ðã hªt ðß¶ng lui bèn nói v¾i #W&U#P: cûng chï vì #W&I #Pthôi mà ! Ðßa hªt cho các ngß½i chßa ðü sao, còn muôn truy sát ta ðªn bao gi¶ !
76	50	4	Lâu Lan Liên Hoàn phø bän	#W&U#P phi thân ðá#{_BOSS95}#P1 cß¾c, không mu¯n thêm mµt cß¾c næa #{_BOSS95}#P ðành quay ngß¶i bö chÕy, trong lúc hoang mang#W&I#P b²ng r¾t ra  trên m£t ð¤t.
77	51	4	Lâu Lan Liên Hoàn phø bän	#W&U#P tÕi Ðµc Chß¾ng TrÕch thu th§p dßþc thäo, không ng¶ lÕi r½i vào sào huy®t cüa #{_BOSS96}#P, thu§n tay v¾t ra #W&I#P r°i ¦n thân biªn m¤t.
78	52	4	Lâu Lan Liên Hoàn phø bän	#W&U#P tung 1 chiêu"Bång Thiên Tuyªt ÐiÕ", #{_BOSS97}#P không ch¯ng cñ n±i cái lÕnh c¡t xß½ng th¸t, vÞ ra muôn ngàn mänh ð°ng th¶i bö lÕi 1 cái#W&I#P.
79	53	4	Hµ Ðäo Th¥n Thú trong phø bän Huy«n Vû Ðäo	#W&U#PS¾m ðã nghe nói Huy«n Vû Ðäo phong cänh hæu tình, nhân hôm nay ð©p tr¶i ðªn n½i ðây du ngoÕn. #{_BOSS88}#Pkhông c¦n th§n ðÕp trúng vö chu¯i chính mình ném ra, trßþt ngã, r½i ra 1 cái#W&I#P.
80	54	4	Phi Thiên Miêu trong phø bän Huy«n Vû Ðäo	#{_BOSS89}#P dçn ti¬u ð® lên Huy«n Vû Ðäo ð¤u ðá ngang d÷c, quä nhiên hôm nay th¤t chân r½i vào#W&U#PcÕm bçy, ðành phäi ðem ra#W&I#Pcúi ð¥u quy phøc.
81	55	4	Phi Thiên Miêu Ti¬u Ð® Trong phø bän Huy«n Vû Ðäo	#{_BOSS90}#P theo ðÕi ca vô ð¸ch Phi Thiên Miêu, trên Huy«n Vû Ðäo ð¤u ðá lung tung, hôm nay th¤t chân r½i vào#W&U#PcÕm bçy, không biªt thª nào ðành lôi ra #W&I#P, luôn mi®ng c¥u xin.
82	56	4	Phi Thiên Miêu Ti¬u Ð® Trong phø bän Huy«n Vû Ðäo	#{_BOSS91}#P theo ðÕi ca vô ð¸ch Phi Thiên Miêu, trên Huy«n Vû Ðäo ð¤u ðá lung tung, hôm nay th¤t chân r½i vào#W&U#PcÕm bçy, không biªt thª nào ðành lôi ra #W&I#P, luôn mi®ng c¥u xin.
83	57	4	Phi Thiên Miêu Ti¬u Ð® Trong phø bän Huy«n Vû Ðäo	#{_BOSS92}#P theo ðÕi ca vô ð¸ch Phi Thiên Miêu, trên Huy«n Vû Ðäo ð¤u ðá lung tung, hôm nay th¤t chân r½i vào#W&U#PcÕm bçy, không biªt thª nào ðành lôi ra #W&I#P, luôn mi®ng c¥u xin.
84	58	4	Phi Thiên Miêu Ti¬u Ð® Trong phø bän Huy«n Vû Ðäo	#{_BOSS93}#P theo ðÕi ca vô ð¸ch Phi Thiên Miêu, trên Huy«n Vû Ðäo ð¤u ðá lung tung, hôm nay th¤t chân r½i vào#W&U#PcÕm bçy, không biªt thª nào ðành lôi ra #W&I#P, luôn mi®ng c¥u xin.
85	59	4	Chß·ng Cñ Yªu Quyªt r½i ra	#{_BOSS29}#P Nh¡m th¤y ko ð¸ch n±i, trong tình hình nguy ng§p rút ra mµt v§t t× trong ngß¶i ð¬ trß¾c m£t #W&U#P, thì ra là mµt cu¯n#W&I#P.
86	60	4	Ðä C¦u B±ng r½i ra	#W&U#P ðang dÕo bß¾c trên thäo nguyên, ðµt nhiên b¸ #{_BOSS11} t¤n công, gi§n dæ, n¡m l¤y y ðánh ð¤m t½i b¶i, #{_BOSS11} không ð¸ch n±i, ðem ra cái #W&I#P quÏ xu¯ng xin tha.
87	61	4	Yªn Vß½ng r½i ra	#W&U#P tÕi #GYªn Vß½ng C± Mµ t¥ng 3#P dùng tuy®t chiêu "Oa Tâm Cß¾c" ðá vào ngß¶i cüa #{_BOSS33}#P khiªn cho h¡n phäi thoái lui, giành l¤y chiªn th¡ng, ðÕt ðßþc mµt bµ #W&I#P.
88	62	4	Yªn Vß½ng r½i ra	#W&U#P tÕi #GYªn Vß½ng C± Mµ t¥ng 6#P mµt chiêu "Løc MÕch Th¥n Kiªm" hÕ #{_BOSS37}#P, nh£t lên #W&I#P t× trên ngß¶i cüa #{_BOSS37}#Pr½i ra, sau ðó cß¶i l¾n mà ði.
89	63	4	Yªn Vß½ng r½i ra	#{_BOSS41}#P tÕi #GYªn Vß½ng C± Mµ t¥ng 9 #Pb¸ #W&U#P cho mµt chß·ng tr÷ng thß½ng, ðành giao ra mµt bµ #W&I#P ð¬ xin tha.
90	64	4	Lâu Lan T¥m Bäo	#W&U#P Sau khi ðánh bÕi #{_BOSS94}#P, mu¯n xóa sÕch d¤u vªt, thu d÷n chiªn trß¶ng ko ng¶ · 1 góc · #GLâu Lan Bäo Tàng Ðµng#Pphát hi®n 1 cái #W&I#P.
91	65	4	Thánh Thú S½n Thi¬m Ði®n C¦u	#{_BOSS115}#P Dçn ti¬u ð® leo lên ðïnh Thánh Thú S½n, m¾i ngang lßng ch×ng thì &U#P ¥m ¥m tuyªt l· chôn vùi, chï còn mµt cu¯n#W&I#Pbay tung trong gió.
