INT	INT	STRING	STRING	STRING	INT	FLOAT	INT	INT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT	INT	FLOAT
10	1	Kích Lßu ÐÕi Pháp	Là tâm pháp luy®n khí ngh¸ch chuy¬n th¤t th§p nh¸ chu thiên m§t truy«n cüa Minh giáo, huyªt nhß hàn bång, khí tña kích lßu, Sau khi tu luy®n có th¬ nâng cao khä nång ngoÕi thü cho ð® tØ cüa Minh Giáo. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa1_10	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
11	1	Li®t Di®m ÐÕi Pháp	Là tâm pháp luy®n khí chính th¤t th§p nh¸ châu thiên m§t truy«n cüa Minh giáo, huyªt nhß nham tß½ng, khí tña li®t di®m. Sau khi tu luy®n có th¬ nâng cao ngoÕi công kích cho ð® tØ cüa Minh Giáo.#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa1_11	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
12	1	Minh Tôn Thánh Hoä Công	Võ công kÏ lÕ do lão nhân Ho¡c S½n trong Ba Tß S½n sáng tÕo ra, ðß¶ng chï ðông kích tây, khiªn ngß¶i khác không th¬ phòng b¸. Sau khi tu luy®n có th¬ nâng cao khí cho ð® tØ phái Minh Giáo. #r#c54FF00 h÷c c¤p ðµ 20.	XinFa1_12	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
13	2	Thái T± Trß¶ng Quy«n	Quy«n pháp do Thái t± Tri®u Khuông D§n ðß½ng tri«u sáng l§p, ðßþc lßu hành rµng rãi · ÐÕi T¯ng.Sau khi tu luy®n có th¬ nâng cao khä nång chính xác cho ð® tØ cüa Cái Bang. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa1_13	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
14	2	Ð¸a Ðß¶ng Công	Công phu t±ng hþp cüa các loÕi công phu hÕ bàn trong giang h°, bao g°m r¤t nhi«u chiêu thÑc ð½n giän thßc døng chuy¬n thü thành công, h°i sinh t× cõi chªt, Sau khi tu luy®n có th¬ nâng cao khä nång né tránh cho ð® tØ cüa Cái Bang. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa1_14	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
15	2	Hàng Long Th§p Bát Chß·ng Thßþng Quy¬n	Chß·ng pháp cß½ng dß½ng ð® nh¤t thiên hÕ, ðßþc truy«n qua nhi«u ð¶i trong Cái Bang. Hàng Long Th§p bát chß·ng quy¬n thßþng chú tr÷ng ðªn vi®c phát chß·ng theo thª thu§n, không th¬ ch¯ng ðÞ ðßþc. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ cüa Cái Bang. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20 	XinFa1_15	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
16	2	C¥m Long Công	Th¥n công lßu truy«n bí m§t trong giang h°, luy®n ðªn cänh gi¾i thßþng th×a, có th¬ lây v§t khi ðang · trên không, ðoÕt l¤y vû khí cüa ð¸ch nhân. Sau khi tu luy®n có th¬ nâng cao khä nång ngoÕi thü cho ð® tØ cüa Cái Bang. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa1_16	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
17	2	Kh¯ng HÕc Công	Th¥n công lßu truy«n bí m§t trong giang h°, luy®n ðªn cänh gi¾i thßþng th×a, có th¬ cách s½n ðä ngßu, ðä thß½ng ð¸ch nhân trong vòng tråm bß¾c. Sau khi tu luy®n có th¬ nâng cao ngoÕi công kích cho ð® tØ cüa Cái Bang.#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa2_1	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
18	2	Hàng Long Th§p Bát Ðß¶ng HÕ Quy¬n	Giáng Long Th§p Bát Chß·ng quy¬n hÕ chú tr÷ng ngh¸ch thª mà ðµng, v« sau mÕnh vô cùng. Sau khi h÷c có th¬ tång khí cñc hÕn cüa ð® tØ Cái Bang. #r#c54FF00 ÐÆng c¤p h÷c t§p 20	XinFa2_2	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
19	3	Âm Dß½ng Quyªt	 Cái g÷i là âm dß½ng cüa ÐÕo gia chính là thuyªt âm dß½ng tß½ng sinh tß½ng kh¡c, càn khôn tß½ng phø tß½ng thành. Sau khi tu luy®n có th¬ nâng cao tÖ l® chính xác cho ð® tØ cüa phái Võ Ðang. #r#r#c54FF00 ÐÆng c¤p h÷c t§p c¤p 10	XinFa2_3	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
20	3	LoÕn Hoàn Quyªt	Cái g÷i là loÕn hoàn cüa ÐÕo gia chính là thuyªt tråm sñ biªn hóa ðßþc ðßþc tâm sinh ra, cao th¤p tiªn thoái, xu¤t nh§p công thü ð«u có sñ khác nhau. Sau khi tu luy®n có th¬ nâng cao khä nång né tránh cho ð® tØ cüa Võ Ðang. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20 	XinFa2_4	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
21	3	Hß Thñc Quyªt	Cái g÷i là hß thñc cüa ÐÕo gia chính là thuyªt tránh n£ng ð¬ sØ døng nh©, tránh thñc ð¬ sØ døng hß. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ cüa phái Võ Ðang. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa2_5	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
22	3	Thái Cñc Kiªm Pháp	Kiªm pháp t§p hþp thành tñu cüa võ h÷c ðÕo gia, chú tr÷ng ðªn th¥n · trß¾c kiªm, liên miên b¤t tuy®t, l¤y b¤t biªn ð¬ Ñng vÕn biªn.Sau khi tu luy®n có th¬ nâng cao khä nång nµi thü cho ð® tØ cüa phái Võ Ðang.  #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa2_6	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
23	3	Thái Cñc Quy«n Pháp	Quy«n pháp t§p hþp thành tñu cüa võ h÷c ðÕo gia, coi tr÷ng sñ xoay chuy¬n trong thái cñc, không bao gi¶ ngßng, dùng ý chÑ không dùng sÑc. Sau khi tu luy®n có th¬ nâng cao khä nång nµi công kích cho ð® tØ cüa phái Võ Ðang. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa2_7	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
24	3	Nam Hoa Kinh	ÐÕo gia tiên có ðÑc có tài n±i tiªng Trang TØ, võ công thiên nhân hþp nh¤t tÑc là phäi ngµ t× bên trong. Sau khi tu luy®n có th¬ nâng cao mÑc nµi lñc cüa ð® tØ Võ Ðang. #r#c54FF00 h÷c c¤p ðµ 20.	XinFa2_8	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
25	4	Th¥n Næ Quy«n Pháp	Công phu khéo léo kÏ di®u nh¤t cüa phái Nga My, m²i mµt chiêu ð«u có ngu°n g¯c t× mµt mÛ næ c± ðÕi. Sau khi tu luy®n có th¬ nâng cao tÖ l® chính xác cho ð® tØ cüa phái Nga My . #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa2_9	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
26	4	Th¥n Hæu Kinh	v¯n là tâm pháp thßþng th×a có ngu°n g¯c t× Ph§t gia, chú tr÷ng nhi«u ðªn hµ th¬ phòng thân, d­ dàng h² trþ cho ð°ng ðµi khi nguy kh¯n. Sau khi tu luy®n có th¬ nâng cao khä nång né tránh cho ð® tØ cüa phái Nga My. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa2_10	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
27	4	T¦y Tüy Kinh	Bµ kinh n±i tiªng cüa Thi«n tông ÐÕt ma T± sß, trong ðó chï rõ thuyªt thay gân ð±i c¯t ð¬ khØ ác tránh tà trong võ h÷c. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ cüa phái Nga My. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa2_11	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
28	4	Thøc Næ Kiªm Pháp	Kiªm pháp m§t truy«n cüa næ hi®p ti«n b¯i cüa phái Nga My, kiªm thÑc nh© nhàng linh hoÕt, không ð¬ cho mµt gi÷t nß¾c có th¬ xuyên qua, coi tr÷ng phòng thü. Sau khi tu luy®n có th¬ nâng cao khä nång nµi thü cho ð® tØ cüa phái Nga My. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa2_12	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
29	4	Quân TØ Kiªm Pháp	Kiªm pháp m§t truy«n cüa næ hi®p ti«n b¯i cüa phái Nga My, kiªm thÑc tao nhã phóng khoáng, nhßng uy lñc vô cùng khüng khiªp, coi tr÷ng t¤n công. Sau khi tu luy®n có th¬ nâng cao khä nång nµi công kích cho ð® tØ cüa phái Nga My. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa2_13	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
30	4	Äm Nhiên Bi®t Ly Chß·ng	Nga My phái giæ kín không truy«n, bình thß¶n uy lñc không l¾n, chï có lúc sinh li tØ bi®t, khi c¥n kíp m¾i th¬ hi®n ra uy lñc kinh thiên ðµng ð¸a. Sau khi tu luy®n có th¬ nâng cao mÑc nµi lñc cüa ð® tØ Nga My. #r#c54FF00 h÷c c¤p ðµ 20.	XinFa2_14	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
31	5	Hü Thi Công	Võ công do Tinh túc lão tiên Ðinh xuân Thu sáng tÕo ra, t¤n công b¢ng thi ðµc th¯i ræa, khiªn ð¸ch nhân không th¬ tránh ðßþc. Sau khi tu luy®n có th¬ nâng cao tÖ l® chính xác cho ð® tØ cüa phái Tinh Túc. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa2_15	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
32	5	Ngû Ðµc Công	Th¥n công ðßþc sáng tÕo ra t× trÕng thái ðµng tác cüa 5 loÕi ðµc v§t, nghe nói có ngu°n g¯c t× Ngû Ðµc Giáo · phß½ng nam. Sau khi tu luy®n có th¬ nâng cao khä nång né tránh cho ð® tØ cüa phái Tinh Túc. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa2_16	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
33	5	Tam Tiªu Tiêu Dao Tán	KÏ môn ðµc thu§t do Tinh túc lão tiên Ðinh Xuân Thu sáng tÕo ra, dùng nhæng bi®n pháp quái lÕ và ðµc dßþc bá ðÕo ð¬ tiêu di®t ð¯i thü. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ cüa phái Tinh Túc. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa3_1	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
34	5	Th¥n Mµc Công	Th¥n mµc vß½ng ðïnh mµt trong s¯ ba bäo v§t cüa phái Tinh Túc, ¦n chÑa mµt ph¥n bí kíp võ công ðã b¸ th¤t truy«n t× lâu .Sau khi tu luy®n có th¬ nâng cao khä nång nµi thü cho ð® tØ cüa phái Tinh Túc. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa3_2	5	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
35	5	Thánh Thüy Kinh	Thánh thüy Vß½ng tôn mµt trong s¯ ba bäo v§t cüa phái Tinh Túc, ¦n chÑa mµt ph¥n bí kíp võ công ðã b¸ th¤t truy«n t× lâu. Sau khi tu luy®n có th¬ nâng cao nµi công kích cho ð® tØ cüa phái Tinh Túc. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa3_3	3	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
36	5	Bính M®nh Tam ThÑc	Phanh m®nh tam thÑc, các chiêu ð«u hß¾ng v« ð¸ch, mµt ngß¶i li«u mÕng, vÕn ngß¶i khó ð¸ch. Sau khi tu luy®n có th¬ nâng cao mÑc nµi lñc cüa ð® tØ Tinh Túc. #r#c54FF00 h÷c c¤p ðµ 20.	XinFa3_4	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
37	6	Nh¤t Dß½ng Chï Chï Pháp	Tuy®t h÷c gia truy«n cüa ÐÕi Lý Ðoàn th¸, khi v§n công s¨ t§p trung nµi lñc toàn thân vào ð¥u ngón tay, khí ðµ ung dung, nh¤t chï kh¡c ð¸ch. Sau khi tu luy®n có th¬ nâng cao khä nång t¤n công cho ð® tØ cüa phái Thiên Long. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa3_5	7	0.2	1	10	45	0.2	60	1.4	75	2.4	90	3.4	105	4.4	120	5.4	135	6.4	150	7.4	175	8.4	200	9.4
38	6	ÐÕi Lý Binh Pháp	Binh pháp kh¡c ð¸ch ð¬ dành th¡ng lþi khi T± tiên cüa ÐÕi Lý Ðoàn th¸ sáng nghi®p, ðßþc h§u thª mßþn l¤y áp døng vào võ thu§t. Sau khi tu luy®n có th¬ nâng cao khä nång nµi thü cho ð® tØ cüa phái Thiên Long.. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa3_6	5	0.5	1	20	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
39	6	ÐÕo Dçn Thu§t	Cách du²i ðßþc truy«n lÕi t× th¶i thßþng c±, là pháp môn hô h¤p luy®n khí, có th¬ nhä cû nÕp m¾i, cß¶ng thân ki®n th¬. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ cüa phái Thiên Long. #r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa3_7	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
40	6	Ðoàn Gia Quy«n Pháp	Quy«n pháp m§t truy«n cüa ÐÕi Lý Ðoàn th¸, tao nhã quý phái, chính ðÕi quang minh, có ¦n chÑa sñ uy nghiêm cüa hoàng gia. Sau khi tu luy®n có th¬ nâng cao khä nång ngoÕi thü cho ð® tØ phái Thiên Long. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa3_8	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
41	6	Ðoàn Gia Kiªm Pháp	Kiªm pháp m§t truy«n cüa ÐÕi Lý Ðoàn th¸, phóng khoáng, khoáng ðÕt, biªt cách tiªn thoái, có ¦n chÑa sñ uy nghiêm cüa hoàng gia. Sau khi tu luy®n có th¬ nâng cao khä nång ngoÕi công kích cüa ð® tØ phái Thiên Long. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa3_9	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
42	6	Khô Thi«n	Th¥n công tß½ng truy«n nhi«u ð¶i cüa Thiên Long tñ, tînh toÕ tham thi«n, tâm vô bàng vø, nµi công và Ph§t pháp ðÕt ðªn trình ðµ cao siêu. Sau khi tu luy®n có th¬ nâng cao mÑc nµi lñc cüa ð® tØ Thiên Long. #r#c54FF00 h÷c c¤p ðµ 20.	XinFa3_10	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
43	7	Linh ThÑu Công	Th¥n công sáng tác ra t× các trÕng thái ðµng tác cüa các loÕi th¥n c¥m linh tñu, xu¤t thü cñc ðµc, không h« nß½ng tay. Sau khi tu luy®n có th¬ nâng cao tÖ l® chính xác cho ð® tØ phái Thiên S½n.#r#r#c54FF00 ÐÆng c¤p h÷c t§p c¤p 10	XinFa3_11	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
44	7	Ti¬u Vô Tß½ng Công	V¯n xu¤t thân phát Th¥n du Thái hß cüa ÐÕo gia, ý nghîa là thanh tînh vô vi, vô hình trong khi thu phát. Sau khi tu luy®n có th¬ nâng cao tÖ l® né tránh cho ð® tØ phái Thiên S½n.#r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa3_12	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
45	7	Quy TÑc Công	V¯n xu¤t phát t× ti«m tâm ti«m tÑc cüa ÐÕo gia, ý nghîa chân ð¸nh xu¤t ð¸nh, gi¯ng nhß quy tÑc bª khí, giäm sñ tiêu hao chân khí xu¯ng mÑc th¤p nh¤t. Sau khi tu luy®n có th¬ nâng cao hoÕt lñc cho ð® tØ phái Thiên S½n.#r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa3_13	0	6	1	20	45	6	60	30	75	48	90	60	105	72	120	84	135	96	150	108	175	120	200	132
46	7	Thiên S½n Dung Tuyªt Công	Nµi công tâm pháp m§t truy«n cüa ti«n hi«n phái Thiên S½n, cänh gi¾i cñc cao, b¤t kÏ tâm pháp phòng ngñc nào trong thiên hÕ ð«u có th¬ s¨ s¨ b¸ hóa giäi trong Thiên S½n dung tuyªt công. Sau khi tu luy®n có th¬ nâng cao ngoÕi thü cho ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa3_14	4	0.5	1	10	45	0.5	60	5	75	10	90	15	105	20	120	25	135	30	150	35	175	40	200	45
47	7	Thiên S½n Chiªt Mai Thü	Thü pháp c¥m nã do Thiên S½n phái ti«n hi«n m§t truy«n, cänh gi¾i cñc cao, b¤t kÏ loÕi tâm pháp công kích nào trong thiên hÕ ð«u có th¬ s¨ b¸ hóa giäi trong Thiên s½n chiªt mai thü. Sau khi tu luy®n có th¬ nâng cao ngoÕi công kích cho ð® tØ phái Thiên S½n. #r#c54FF00ÐÆng c¤p h÷c t§p c¤p 10	XinFa3_15	2	1.2	1	10	45	1.2	60	12	75	18	90	24	105	30	120	36	135	42	150	48	175	54	200	60
48	7	Thiên S½n Løc Dß½ng Chß·ng	V¯n là tuy®t h÷c th¥n công cüa phái Tiêu Diêu, ðßþc Linh ThÑu cung phát huy rµng l¾n, uy lñc trß¾c ðây ðã ch¤n ðµng c± kim, chï ngß¶i ngoài không biªt mà thôi. Sau khi tu luy®n có th¬ nâng cao mÑc nµi lñc cüa ð® tØ Tiêu Diêu. #r#c54FF00 h÷c c¤p b§c 20.	XinFa3_16	1	3	1	20	45	3	60	12	75	24	90	36	105	48	120	60	135	72	150	84	175	96	200	108
49	8	Bách Hoa Kinh	Nghe nói ðßþc truy«n t× th¶i hßng th¸nh nh¤t cüa nhà Ðß¶ng, ðßþc dçn b·i bách hoa, ngßng nµi lñc thành tr§n, l×a ð¸ch vào trong tr§n còn mình thì · bên ngoài tr§n. Sau khi tu luy®n có th¬ nâng cao tÖ l® ðánh trung cho ð® tØ cüa phái Tiêu Dao.#r#r#c54FF00ÐÆng h÷c t§p ðÆng c¤p 10.	XinFa4_1	6	0.2	1	10	45	0.2	60	4	75	6	90	8	105	10	120	12	135	14	150	16	175	18	200	20
50	8	Ðµn Giáp Thiên Thß	Do Tä T× tiên nhân th¶i Tam Qu¯c truy«n thø, ghi chép thu§t kÏ môn ðµn giáp, Ð¢ng na biªn hóa (di d¶i biªn hóa) t× c± chí kim. Sau khi tu luy®n có th¬ nâng cao hi®u su¤t né tránh cho ð® tØ cüa phái Tiêu Dao .#r#r#c54FF00ÐÆng c¤p h÷c t§p c¤p 20	XinFa4_2	7	0.07	1	20	45	0.07	60	1.05	75	1.75	90	2.45	105	3.15	120	3.85	135	4.55	150	5.25	175	5.95	200	6.65
