INT	STRING	INT	INT	STRING	INT	INT	INT	FLOAT	INT	INT	STRING	INT	STRING	INT	STRING	INT	INT	INT	INT	INT
10	 Tr°ng tr÷t 	10	10	zhongzhi.txt	5000	-1	-1	3.000000	-1	120	CommonLiveSkill_1	-1	Có th¬ gieo hÕt và thu hoÕch trên ð°ng ruµng	-1	 G£t 	1	249	1	-1	-1
11	 khai quang 	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_1	-1	V¾i sñ gia trì cüa Ph§t ¤n, dßþc li®u s¨ tr· nên th¥n kÏ	1	 khai quang 	1	252	0	-1	-1
12	 Thu§t thánh höa 	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_2	-1	LØa luy®n ðan có th¬ tôi luy®n thäo dßþc thành v§t ph¦m mÕnh m¨ h½n	1	 Thu§t thánh höa 	1	252	0	-1	-1
13	 N¤u rßþu 	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_3	-1	Dùng rßþu làm nguyên li®u, cho thêm thäo dßþc và côn trùng vào chª thành rßþu thu¯c	1	 N¤u rßþu 	1	252	0	-1	-1
14	 Huy«n bång thu§t 	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_4	-1	Bång tinh ngàn nåm h¤p thu tinh hoa cüa dßþc li®u tr· nên th¥n kÏ h½n	1	 Huy«n bång thu§t 	2	252	0	-1	-1
15	 Chª c± 	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_9	-1	Cho trùng ðµc ån dßþc li®u nó s¨ giúp ngß½i ðßþc nhi«u vi®c	1	 Chª c± 	2	252	0	-1	-1
16	Chª ðµc	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_5	-1	Th§t khó tß·ng tßþng thäo dßþc cÑu ngß¶i và trùng ðµc hÕi ngß¶i trµn lçn v¾i nhau s¨ tÕo ra cái gì	1	Chª ðµc	2	252	0	-1	-1
17	 Chª phù 	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_6	-1	L¤y nß¾c thu¯c v¨ bùa lên gi¤y s¨ có công hi®u mà ngß½i không th¬ nghî ðªn	1	 Chª phù 	2	252	0	-1	-1
18	 Luy®n ðan 	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_7	-1	Tác døng cüa s¯ ðan dßþc này là dßþc ph¦m thông thß¶ng khó mà ð¸ch n±i	1	 Luy®n ðan 	1	252	0	-1	-1
19	 KÏ môn ðµn giáp 	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	MenpaiLiveSkill_8	-1	Nß¾c thu¯c v¨ thành tranh có tác døng th¥n kÏ	1	 KÏ môn ðµn giáp 	1	252	0	-1	-1
20	 Công trình h÷c 	10	99	assistant.txt	5000	-1	-1	-1.000000	-1	118	Food_1	-1	TÕm vô	1	 Công trình h÷c 	1	-1	0	-1	-1
21	X ua ðu±i ma quÖ	10	200	assistant.txt	5000	-1	-1	1.000000	-1	132	Food_1	-1	TÕm vô	-1	X ua ðu±i ma quÖ	1	-1	0	-1	-1
22	 Ðào báu v§t 	10	100	assistant.txt	5000	-1	-1	1.000000	-1	132	Food_1	-1	Kho báu cüa ngß¶i xßa · ðâu? KÛ nång ðào bäo v§t dÕy ngß½i, tìm bäo v§t, ðào bäo v§t	-1	 Ðào báu v§t 	1	-1	0	-1	-1
23	Bào thß½ng	10	50	assistant.txt	0	-1	-1	-1.000000	-1	-1	Food_1	-1	Mu¯n làm cho mình giàu có nh¤t thiên hÕ không? V§y thì hãy làm mµt thß½ng nhân thông minh sáng su¯t ði	-1	Bào thß½ng	1	-1	0	-1	-1
24	Ép giá	10	1	assistant.txt	0	-1	-1	-1.000000	-1	-1	Food_1	-1	Phäi ép giá là chính, mua vào v¾i giá th¤p s¨ giúp ngß½i tiªt ki®m ti«n	-1	Ép giá	1	-1	0	-1	-1
25	Bán chÕy	10	1	assistant.txt	0	-1	-1	-1.000000	-1	-1	Food_1	-1	Tång giá cä hàng hóa ngß½i có th¬ kiªm l¶i nhi«u h½n mµt chút	-1	Bán chÕy	1	-1	0	-1	-1
26	Ðang thao tác	-1	12	assistant.txt	5000	-1	-1	2.000000	-1	118	Food_1	-1	Trong thao tác, KÛ nång này không c¥n hi¬n th¸, ð¬ sØ døng cho nhi®m vø m· hàng hóa	-1	Ðang thao tác	1	-1	0	-1	-1
27	 Dßþc lý 	10	99	yaoli.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_10	-1	B± trþ kÛ nång chª dßþc, giäm ðµ tiêu hao hoÕt lñc khi chª dßþc.	-1	 Dßþc lý 	0	-1	0	-1	-1
28	 DßÞng sinh pháp 	10	99	yangsheng.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_11	-1	B± trþ kÛ nång n¤u ån, giäm ðµ tiêu hao hoÕt lñc khi n¤u ån.	-1	 DßÞng sinh pháp 	0	-1	0	-1	-1
29	 Ph§t pháp 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_1	-1	B± trþ kÛ nång khai quang, giäm ðµ tiêu hao hoÕt lñc khi khai quang, kÛ nång s¯ng ðµc môn cüa phái Thiªu Lâm.	-1	 Ph§t pháp 	0	-1	0	-1	-1
30	 Thái höa thu§t 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_2	-1	B± trþ kÛ nång thánh höa thu§t, giäm ðµ tiêu hao hoÕt lñc cüa thánh höa thu§t, kÛ nång s¯ng ðµc môn cüa phái Minh Giáo.	-1	 Thái höa thu§t 	0	-1	0	-1	-1
31	 Liên hoa lÕc 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_3	-1	B± trþ kÛ nång n¤u rßþu, giäm ðµ tiêu hao hoÕt lñc khi n¤u rßþu, kÛ nång s¯ng ðµc môn cüa phái Cái Bang.	-1	 Liên hoa lÕc 	0	-1	0	-1	-1
32	 Thái bång thu§t 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_4	-1	B± trþ kÛ nång huy«n bång thu§t, giäm ðµ tiêu hao hoÕt lñc cüa huy«n bång thu§t, kÛ nång s¯ng ðµc môn cüa phái Thiên S½n.	-1	 Thái bång thu§t 	0	-1	0	-1	-1
33	 Bách quyªt kinh mÕch 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_9	-1	KÛ nång chª c± b± trþ, giäm tiêu hao hoÕt lñc chª c±, kÛ nång sinh hoÕt cüa Thiên Long Phái. 	-1	 Bách quyªt kinh mÕch 	0	-1	0	-1	-1
34	 Dçn Trùng thu§t 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_5	-1	B± trþ kÛ nång chª ðµc, giäm ðµ tiêu hao hoÕt lñc khi chª ðµc, kÛ nång s¯ng ðµc môn cüa phái Tinh Túc.	-1	 Dçn Trùng thu§t 	0	-1	0	-1	-1
35	 Tâm Linh thu§t 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_6	-1	B± trþ kÛ nång chª phù, giäm ðµ tiêu hao hoÕt lñc khi chª phù, kÛ nång s¯ng ðµc môn cüa phái Nga My.	-1	 Tâm Linh thu§t 	0	-1	0	-1	-1
36	 ÐÕo pháp 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_7	-1	B± trþ kÛ nång luy®n ðan, giäm ðµ tiêu hao hoÕt lñc khi luy®n ðan, kÛ nång s¯ng ðµc môn cüa phái Võ Ðang.	-1	 ÐÕo pháp 	0	-1	0	-1	-1
37	 Løc ngh® phong c¯t 	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill_8	-1	B± trþ kÛ nång kÏ môn ðµn giáp, giäm ðµ tiêu hao hoÕt lñc cüa kÏ môn ðµn giáp, kÛ nång s¯ng ðµc môn cüa phái Tiêu Dao.	-1	 Løc ngh® phong c¯t 	0	-1	0	-1	-1
38	KÜ thu§t	30	1	assistant.txt	5000	-1	-1	-1.000000	-1	-1	RideHeader1_1	-1	KÜ thu§t	-1	KÜ thu§t	0	-1	0	-1	-1
39	 Chï Xích Thiên Nhai	10	3	dingweifu.txt	10000	-1	-1	-1.000000	-1	118	Charm_4	-1	SØ døng kÛ nång này có th¬ chª tÕo ra loÕi phù tr· v« ð¸a ði¬m ðã ð¸nh.	1	 Chï Xích Thiên Nhai	1	-1	0	-1	-1
40	HoÕt huyªt	10	100	assistant.txt	0	-1	-1	-1.000000	-1	-1	CommonLiveSkill_12	-1	Tång gi¾i hÕn máu	-2	HoÕt huyªt	0	-1	0	-1	-1
41	 DßÞng khí	10	100	assistant.txt	0	-1	-1	-1.000000	-1	-1	CommonLiveSkill_13	-1	Tång gi¾i hÕn khí	-2	 DßÞng khí	0	-1	0	-1	-1
42	Cß¶ng thân	10	100	assistant.txt	0	-1	-1	-1.000000	-1	-1	CommonLiveSkill_14	-1	Tång cß¶ng gi¾i hÕn hoÕt lñc	-2	Cß¶ng thân	0	-1	0	-1	-1
43	 Ki®n th¬	10	100	assistant.txt	0	-1	-1	-1.000000	-1	-1	CommonLiveSkill_15	-1	Tång gi¾i hÕn tinh lñc	-2	 Ki®n th¬	0	-1	0	-1	-1
44	 Tu thân	10	100	assistant.txt	0	-1	-1	-1.000000	-1	-1	CommonLiveSkill_16	-1	Tång t¯c ðµ phát tri¬n hoÕt lñc	-2	 Tu thân	0	-1	0	-1	-1
45	 T¯ th¬	10	100	assistant.txt	0	-1	-1	-1.000000	-1	-1	MenpaiLiveSkill2_8	-1	Ð¦y mÕnh t¯c ðµ phát tri¬n tinh lñc	-2	 T¯ th¬	0	-1	0	-1	-1
46	Tinh luy®n	10	1	assistant.txt	5000	-1	-1	-1.000000	-1	118	TaskTools4_13	-1	Tinh luy®n thiên chú, th¥n binh hþp thành, vû khí s¡c bén	1	Tinh luy®n	0	253	1	-1	-1
47	Tinh chª	10	1	assistant.txt	5000	-1	-1	-1.000000	-1	118	TaskTools4_14	-1	Tinh chª tiên chÑc, c¦m bao ng÷c ðái, hµ th¬ th¥n giáp	1	Tinh chª	0	254	1	-1	-1
48	Tinh công	10	1	assistant.txt	5000	-1	-1	-1.000000	-1	118	TaskTools4_15	-1	Tinh công linh tÕo, hi«n khí thành hình, hµ chü tinh h°n	1	Tinh công	0	252	1	-1	-1
49	Gia công nguyên li®u	10	1	cailiaojiagong.txt	5000	-1	-1	-1.000000	-1	118	CommonLiveSkill2_1	-1	SØ døng kÛ nång này có th¬ gia công thành nhæng nguyên li®u mà kÛ nång s¯ng may m£c, ðúc, công ngh® c¥n.	1	Gia công nguyên li®u	0	252	1	-1	-1
50	Chi vi®n tri«u ðình	-1	12	assistant.txt	120000	-1	-1	2.000000	-1	118	Food_1	-1	Chi vi®n tri«u ðình	-1	Chi vi®n tri«u ðình	0	-1	0	-1	-1
51	Bang hµi tuyên chiªn ðào khoáng	-1	12	assistant.txt	15000	-1	-1	2.000000	-1	142	Food_1	-1	Bang hµi tuyên chiªn ðào khoáng	-1	 Khai khoáng 	0	248	1	-1	-1
52	Ma L® Thu§t	10	10	menpaishenghuo.txt	5000	-1	-1	-1.000000	-1	118	Medicine5_12	-1	Nhæng Binh Phù ngâm trong thäo dßþc này có th¬ duy trì nång lñc chiªn ð¤u, qua mµt th¶i gian các hÕ s¨ hi¬u ðßþc ði¬m tuy®t di®u cüa phù này.	1	Ma L® Thu§t	1	252	0	-1	-1
53	Bói Toán	10	100	shenghuofuzhu.txt	5000	-1	-1	-1.000000	-1	-1	Medicine5_12	-1	B± trþ kÛ nång Ma L® Thu§t, giäm tiêu hao hoÕt lñc khi sØ døng Ma L® Thu§t, kÛ nång sinh hoÕt ð£c bi®t chï Mµ Dung Thª Gia có.	-1	Bói Toán	0	-1	0	-1	-1
54	Thu th§p Huy«n Tinh	-1	12	assistant.txt	10000	-1	-1	2.000000	-1	717	CommonLiveSkill_3	-1	Nh§n cách thu th§p Th¤t Thái  Huy«n Tinh.# r Nh¤p trái chuµt lên Th¤t Thái  Huy«n Tinh ð¬ thu th§p, và sØ døng.	-1	Thu th§p Huy«n Tinh	0	2119	1	-1	-1
55	Ðang v§n công	-1	12	assistant.txt	5000	-1	-1	2.000000	-1	118	Food_1	-1	Trong thao tác, KÛ nång này không c¥n hi¬n th¸, ð¬ sØ døng cho nhi®m vø m· hàng hóa	-1	Ðang v§n công	0	-1	0	-1	-1
