INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
1030040	645	41	0	1	0		164	262	ÐoÕn Ki«u Hoa Yêu	#{MIS_TAR_ADD_482}	#{Mis_L_Xihu_1030040}	#{RW_20080321_349}	#{RW_20080321_352}	30	Tô Phi	0	30	Tô Phi	0	23	644	-1	-1	1	ÐoÕn Ki«u Hoa Yêu	0	40002076	10	1																					2700	45000	-1																																		
1030041	646	41	0	1	0		164	262	BÕch Ðê Li­u QuÖ	#{MIS_TAR_ADD_484}	#{Mis_L_Xihu_1030041}	#{RW_20080321_350}	#{RW_20080321_352}	30	Tô Phi	0	30	Tô Phi	0	23	644	-1	-1	1	BÕch Ðê Li­u QuÖ	0	40002140	10	1																					2100	42000	-1																																		
1030042	647	41	0	1	0		164	262	Quy Phong Trang	#{MIS_TAR_ADD_486}	#{Mis_L_Xihu_1030042}	#{RW_20080321_351}	#{RW_20080321_352}	30	Tô Phi	0	30	Tô Phi	0	23	644	-1	-1	1	Quy Phong Trang Trang Khách	0	40002141	10	1																					3000	48000	-1																		10403063	1	10405062	1	10421064	1											
1030050	522	29	0	1	0		242	75	Bí m§t liên lÕc	#{MIS_TAR_ADD_490}	#{Mis_L_Yannan_1030050}	#{RW_20080321_353}	#{RW_20080321_355}	18	Kh¤u Phong	0	18	Kh¤u Phong	0	30	-1	-1	-1	1	T¥n Gia TrÕi Tín SØ	0	40002056	100	1																					4500	16400	-1								10410066	1																									
1030051	524	29	0	1	0		260	88	Hoàn mÛ Khôi Hùng Bì	#{MIS_TAR_ADD_492}	#{Mis_L_Yannan_1030051}	#{RW_20080321_354}	#{RW_20080321_356}	18	Mã Th×a Sänh	0	18	Mã Th×a Sänh	0	32	-1	-1	-1	1	Khôi Hùng	0	40002057	5	1																					3800	19200	-1																		10421065	1	10412065	1													
1030060	530	30	0	1	0		232	192	H°ng quä phø	#{MIS_TAR_ADD_496}	#{Mis_L_Yanbei_1030060}	#{RW_20080321_357}	#{RW_20080321_359}	19	Khúc Ðoan	0	19	Khúc Ðoan	0	45	-1	-1	-1	1	H°ng quä phø	0	40002060	100	1																					5500	36000	-1																																		
1030061	532	30	0	1	0		232	192	H°ng Thiªt träo	#{MIS_TAR_ADD_498}	#{Mis_L_Yanbei_1030061}	#{RW_20080321_358}	#{RW_20080321_359}	19	Khúc Ðoan	0	19	Khúc Ðoan	0	45	-1	-1	-1	1	H°ng Thiªt träo	0	40002059	100	1																					5500	36000	-1																		10412068	1	10422109	1	10405064	1											
1030070	600	37	0	1	0		182	163	Chu¦n b¸ ngü ðông	#{MIS_TAR_ADD_502}	#{Mis_L_Shilin_1030070}	#{RW_20080321_360}	#{RW_20080321_361}	26	Tr¸nh Huy«n	0	26	Tr¸nh Huy«n	0	55	-1	-1	-1	1	Tông Hùng	0	40002142	25	8																					25000	60000	-1																																		
1030080	541	31	0	1	0		190	200	H¡c Phong thích	#{MIS_TAR_ADD_506}	#{Mis_L_Caoyuan_1030080}	#{RW_20080321_362}	#{RW_20080321_365}	20	Nguy­n lão thái thái	0	20	Nguy­n lão thái thái	0	60	-1	-1	-1	1	Mông C± H¡c Phong	0	40002063	40	8																					26200	62400	-1																																		
1030081	544	31	0	1	0		137	53	BÕch mã thanh ngßu	#{MIS_TAR_ADD_508}	#{Mis_L_Caoyuan_1030081}	#{RW_20080321_363}	#{RW_20080321_366}	20	Tiêu Tß¶ng	0	20	Nguy­n Thành	0	62	542	543	-1	1	Ðoan Mµc nguyên	0	40002064	100	1																					28300	85000	-1																		10410071	1	10404065	1													1010080
1030082	546	31	0	1	0		164	158	Dûng khí	#{MIS_TAR_ADD_510}	#{Mis_L_Caoyuan_1030082}	#{RW_20080321_364}	#{RW_20080321_367}	20	Tiêu Tß¶ng	0	20	Tiêu Tß¶ng	0	62	545	-1	-1	1		0	40002066	0	1																					22400	40600	-1																		10402068	1	10422112	1	10421070	1											1050000
1030090	550	32	0	1	0		161	196	BÕch Lang Bì	#{MIS_TAR_ADD_536}	#{Mis_L_Liaoxi_1030090}	#{RW_20080321_368}	#{RW_20080321_370}	21	Ba Ð°	0	21	Ba Ð°	0	75	-1	-1	-1	1	BÕch Lang Vß½ng	0	40002068	10	1																					55000	76000	-1																																		
1030091	551	32	0	1	0		161	196	H¡c Phong M§t	#{MIS_TAR_ADD_538}	#{Mis_L_Liaoxi_1030091}	#{RW_20080321_369}	#{RW_20080321_371}	21	Ba Ð°	0	21	Ba Ð°	0	75	-1	-1	-1	1	ÐÕi H¡c Phong	0	40002067	10	1																					55500	78000	-1																																		
1030100	560	33	0	1	0		117	107	Nµp c¯ng ph¦m	#{MIS_TAR_ADD_542}	#{Mis_L_Changbai_1030100}	#{RW_20080321_372}	#{RW_20080321_375}	22	Hoàn Nhan A Lý B¯	0	22	Hoàn Nhan A Lý B¯	0	88	-1	-1	-1	1	Ðông B¡c H±	0	40002095	30	5																					67500	170000	-1																																		
1030101	563	33	0	1	0		148	118	Hùng ðäm	#{MIS_TAR_ADD_544}	#{Mis_L_Changbai_1030101}	#{RW_20080321_363}	#{RW_20080321_376}	22	Hoàn Nhan Cát Ly B¤t	0	22	Ð° Ðan Phúc T¤n	0	88	-1	-1	-1	1	H¡c Hùng	0	40002096	20	5																					61500	116000	-1																																		
1030102	567	33	0	1	0		148	118	Ð½n thu¯c cüa Th¥n Y	#{MIS_TAR_ADD_546}	#{Mis_L_Changbai_1030102}	#{RW_20080321_363}	#{RW_20080321_377}	22	Hoàn Nhan Ngµt thu§t	0	22	Ð° Ðan Phúc T¤n	0	90	562	-1	-1	1	Tuyªt Nhân	0	40002098	5	1																					56700	13200	-1																		10403069	1	10405068	1	10404069	1											1030104
1030103	564	33	0	1	0		148	118	c¤p ph¦m nhân sâm	#{MIS_TAR_ADD_548}	#{Mis_L_Changbai_1030103}	#{RW_20080321_363}	#{RW_20080321_378}	22	Hoàn Nhan Niêm Mµt Khát	0	22	Ð° Ðan Phúc T¤n	0	88	-1	-1	-1	1			40002097	100	1																					54500	84000	-1																		10412076	1	10421075	1													
1030104	568	33	0	1	0		148	118	Thiên nha häi giác (chân tr¶i góc b¬)	#{MIS_TAR_ADD_550}	#{Mis_L_Changbai_1030104}	#{RW_20080321_373}	#{RW_20080321_379}	22	Ð° Ðan Phúc T¤n	0	22	Ð° Ðan Phúc T¤n	0	90	567	-1	-1	1			40001039	100	1																					56700	72000	-1																																		
1030105	569	33	0	1	0		234	77	Ðµt kích	#{MIS_TAR_ADD_552}	#{Mis_L_Changbai_1030105}	#{RW_20080321_374}	#{RW_20080321_380}	22	Hoàn Nhan A C¯t Ðä	0	22	Hoàn Nhan A C¯t Ðä	0	90	566	-1	-1	1	Hµt ThÕch Li®t A S½		40002099	100	1																					54000	180000	-1																		10410078	1	10420076	1	10422117	1											
1030110	583	36	0	1	0		57	73	Ði tìm thäo dßþc	#{MIS_TAR_ADD_514}	#{Mis_L_Erhai_1030110}	#{RW_20080321_381}	#{RW_20080321_383}	24	Ðao Lang Can	0	24	Ðao Lang Can	0	25	-1	-1	-1	1		0	20101005	0	5																					6400	19200	-1																																		1050001
1030111	588	36	0	1	0		92	126	Tát Ninh b¸ trói	#{MIS_TAR_ADD_012}	#{Mis_L_Erhai_1030111}	#{RW_20080321_382}	#{RW_20080321_384}	24	Tát Ninh	0	24	Tát Ninh	0	30	-1	-1	-1	1	Ác Lang Thü V®	0	40002143	100	1																					2400	19800	-1																		10401063	1	10400063	1	10404062	1											1010111
1030120	591	35	0	1	0		195	113	Câu chuy®n v« lß½ng thñc	#{MIS_TAR_ADD_520}	#{Mis_L_Cangshan_1030120}	#{RW_20080321_385}	#{RW_20080321_387}	25	Tát Ðô	0	25	Tát Ðô	0	40	-1	-1	-1	1	Soa Y Dã Nhân	0	40002144	30	10																					9300	44600	-1																		10401064	1	10400064	1	10403065	1											
1030121	593	35	0	1	0		202	108	Chï th¸ sáng su¯t	#{MIS_TAR_ADD_522}	#{Mis_L_Cangshan_1030121}	#{RW_20080321_386}	#{RW_20080321_388}	25	Tát Tang	0	25	Tát Tang	0	43	-1	-1	-1	1	Lang Tµc Th¥n Hán	0	40002145	10	1																					6200	16400	-1																																		1050002
1030130	667	43	0	1	0		205	44	Di®t cö di®t t§n g¯c	#{MIS_TAR_ADD_526}	#{Mis_L_Wuyi_1030130}	#{RW_20080321_389}	#{RW_20080321_390}	32	ThuÖ Tiên	0	32	ThuÖ Tiên	0	53	664	665	666	1	Hàm Tiªu	0	40002148	100	1																					8300	46000	-1																		10402067	1	10405065	1	10404064	1											
1030140	656	42	0	1	0		51	115	Phàn tâm tñ ði®p	#{MIS_TAR_ADD_530}	#{Mis_L_Longquan_1030140}	#{RW_20080321_391}	#{RW_20080321_393}	31	A Thanh	0	31	A Thanh	0	38	655	-1	-1	2		0	20103003	0	2		0	20103002	0	2																4900	21200	-1																																		
1030141	657	42	0	1	0		51	115	Quy Vân Chi Mê	#{MIS_TAR_ADD_532}	#{Mis_L_Longquan_1030141}	#{RW_20080321_392}	#{RW_20080321_394}	31	A Thanh	0	31	A Thanh	0	38	655	-1	-1	1	Thß¶ng Quy Vân	0	40002151	100	1																					5400	35600	-1																		10420066	1	10422107	1													
1030150	631	40	0	1	0		201	256	Thïnh c¥u cüa A Tùng	#{MIS_TAR_ADD_556}	#{Mis_L_Miaojiang_1030150}	#{RW_20080321_395}	#{RW_20080321_399}	29	A Tùng	0	29	A Tùng	0	96	-1	-1	-1	1	Chi¬u TrÕch NgÕc Ngß	0	40002085	40	10																					88000	180000	-1																																		
1030151	634	40	0	1	0		182	265	Ách Tu La	#{MIS_TAR_ADD_558}	#{Mis_L_Miaojiang_1030151}	#{RW_20080321_396}	#{RW_20080321_400}	29	A Vû	0	29	A Vû	0	98	633	-1	-1	1	Ách Tu La	0	40002087	20	1																					96000	180000	-1																																		1010152
1030152	635	40	0	1	0		182	265	Vînh DÕ Tu La	#{MIS_TAR_ADD_560}	#{Mis_L_Miaojiang_1030152}	#{RW_20080321_397}	#{RW_20080321_400}	29	A Vû	0	29	A Vû	0	98	633	-1	-1	1	Vînh DÕ Tu La	0	40002088	20	1																					96000	180000	-1																																		
1030153	636	40	0	1	0		182	265	VÕn Kiªp Tu La	#{MIS_TAR_ADD_562}	#{Mis_L_Miaojiang_1030153}	#{RW_20080321_398}	#{RW_20080321_400}	29	A Vû	0	29	A Vû	0	98	633	-1	-1	1	VÕn Kiªp Tu La	0	40002089	20	1																					96000	180000	-1																																		
1030160	624	39	0	1	0		157	223	Ð¢ng Giáp T£c nguyên soái	#{MIS_TAR_ADD_566}	#{Mis_L_Nanzhao_1030160}	#{RW_20080321_401}	#{RW_20080321_403}	28	Dß½ng Minh	0	28	Dß½ng Minh	0	87	623	-1	-1	1	Ngµt C¯t Ðµt	0	40002079	100	1																					65000	132000	-1																																		1010160
1030161	627	39	0	1	0		147	47	L¶i nói d¯i chân thñc	#{MIS_TAR_ADD_568}	#{Mis_L_Nanzhao_1030161}	#{RW_20080321_402}	#{RW_20080321_404}	28	BÕch Lan	0	28	BÕch Lan	0	87	-1	-1	-1	1	Ð° Ba L²	0	40002080	100	1																					66000	132000	-1																																		1010161
1030170	610	38	0	1	0		46	51	La B¯c c¥n con nh®n	#{MIS_TAR_ADD_572}	#{Mis_L_Yuxi_1030170}	#{RW_20080321_405}	#{RW_20080321_408}	27	La B¯c	0	27	La B¯c	0	70	-1	-1	-1	2	K¸ch Ðµc Lang Thù	0	40002113	30	10	K¸ch Ðµc Lang Thù	0	40002114	30	10																29000	11200	-1																																		
1030171	611	38	0	1	0		46	51	La B¯c c¥n Vân Mçu	#{MIS_TAR_ADD_574}	#{Mis_L_Yuxi_1030171}	#{RW_20080321_406}	#{RW_20080321_409}	27	La B¯c	0	27	La B¯c	0	70	-1	-1	-1	1	Vân Mçu ThÕch Nhân	0	40002153	25	10																					29800	68000	-1																																		
1030172	612	38	0	1	0		46	51	La B¯c c¥n long huyªt	#{MIS_TAR_ADD_576}	#{Mis_L_Yuxi_1030172}	#{RW_20080321_407}	#{RW_20080321_410}	27	La B¯c	0	27	La B¯c	0	70	-1	-1	-1	1	Long Huyªt ThÕch Nhân	0	40002154	25	10																					30100	76000	-1																																		
1030180	670	44	0	1	0		170	73	C½ hµi buôn bán vô hÕn	#{MIS_TAR_ADD_580}	#{Mis_L_Meiling_1030180}	#{RW_20080321_411}	#{RW_20080321_412}	33	Th¦m VÕn Tam	0	33	Th¦m VÕn Tam	0	65	-1	-1	-1	1	H°ng Bào Tri Thù	0	40002054	25	10																					37300	64000	-1																																		
1030190	682	45	0	1	0		115	58	Nghiên cÑu chæ Tiªt	#{MIS_TAR_ADD_584}	#{Mis_L_Nanhai_1030190}	#{RW_20080321_413}	#{RW_20080321_416}	34	Di®p Lßu Phàm	0	34	Di®p Lßu Phàm	0	80	-1	-1	-1	1	Nam Häi NgÕc Ngß	0	40002062	20	6																					50000	108000	-1																		10413076	1	10411082	1	10410075	1											1010191
1030191	684	45	0	1	0		206	237	Nåm hÕt quýt	#{MIS_TAR_ADD_586}	#{Mis_L_Nanhai_1030191}	#{RW_20080321_414}	#{RW_20080321_417}	34	NhÕc Tr÷ng Thu	0	34	NhÕc Tr÷ng Thu	0	80	-1	-1	-1	1	ThÕch Lão Nhân	0	40002072	20	5																					52000	113600	-1																		10421073	1	10413077	1													
1030193	686	45	0	1	0		111	60	Mµt tia sáng	#{MIS_TAR_ADD_588}	#{Mis_L_Nanhai_1030193}	#{RW_20080321_415}	#{RW_20080321_418}	34	Di®p Lßu Phàm	0	34	Di®p Lßu Phàm	0	82	683	-1	-1	1	NhÕc B¤t Bình	0	40002074	100	1																					56000	120000	-1																		10400069	1	10404068	1	10403068	1											1010195
1030200	692	46	0	1	0		241	159	ÐÕo Th¥n	#{MIS_TAR_ADD_592}	#{Mis_L_Qiongzhou_1030200}	#{RW_20080321_419}	#{RW_20080321_422}	35	Nguyên TØ Khâm	0	35	Nguyên TØ Khâm	0	92	-1	-1	-1	1	Nam Häi ÐÕo Th¥n	0	40002077	5	1																					72000	156000	-1																		10410079	1	10411085	1													1010200
1030201	694	46	0	1	0		246	151	Thu¯c Hi¬n änh	#{MIS_TAR_ADD_594}	#{Mis_L_Qiongzhou_1030201}	#{RW_20080321_420}	#{RW_20080321_423}	35	Lång ºc T×	0	35	Lång ºc T×	0	92	693	-1	-1	2		0	20103010	0	5		0	20101022	0	5																36000	72000	-1																																		1010201
1030202	698	46	0	1	0		256	242	Huy«n Vû Môn chi biªn	#{MIS_TAR_ADD_596}	#{Mis_L_Qiongzhou_1030202}	#{RW_20080321_421}	#{RW_20080321_424}	35	NhÕc Lão Tam	0	35	NhÕc Lão Tam	0	94	696	697	-1	1	C¥u lão th¤t	0	40002081	100	1																					70000	160000	-1																		10400071	1	10401069	1	10403070	1	10402071	1									
1030210	571	34	0	1	0		163	191	H½i th· ¤m áp	#{MIS_TAR_ADD_600}	#{Mis_L_Huanglong_1030210}	#{RW_20080321_425}	#{RW_20080321_427}	23	Thác BÕt Vån	0	23	Thác BÕt Vån	0	98	-1	-1	-1	1	Tuyªt S½n Lang	0	40002083	20	10																					24000	164000	-1																		10412079	1	10422120	1	10420079	1											
1030211	578	34	0	1	0		166	204	Sñ bùng n± ðau kh±	#{MIS_TAR_ADD_602}	#{Mis_L_Huanglong_1030211}	#{RW_20080321_426}	#{RW_20080321_428}	23	Phù T¸ch Nhan	0	23	Phù T¸ch Nhan	0	98	577	-1	-1	1	Ho¡c Tß	0	40002105	100	1																					100000	200000	-1																		10400073	1	10404070	1	10403071	1											
1030220	919	26	0	1	0		217	255	TØ ng÷ châm cÑu kinh	Giªt chªt #RLong Tînh ThuÖ T£c#W, l¤y ðßþc 30 t¶ #YTý ng÷ châm cÑu kinh tàn hi®t#W, và ðem giao cho #GÐÕi Lý Tu Vån Ðài #W#RVß½ng Thi«u #W#{_INFOAIM217,255,2,Vß½ng Thi«u}. #GTây H° Tô Ðê #Wphía ðông có r¤t nhi«u Long Tînh Thüy T£c#{_INFOAIM251,228,30,-1}.	#{emei_skill_mis_02}	#{RW_20080321_429}	#{RW_20080321_430}	2	Vß½ng Thi«u	0	2	Vß½ng Thi«u	0	20	918	-1	-1	1	Long Tïnh ThuÖ T£c	0	40002165	75	30																					2000	2000																																			1010241
1030221	945	28	0	1	0		217	255	Nhung mã không t±ng	#{MIS_TAR_ADD_603}	#{mission_tianshan_skill_001}	#{RW_20080321_431}	#{RW_20080321_432}	2	Vß½ng Thi«u	0	2	Vß½ng Thi«u	0	30	944	-1	-1	1	T¥n Gia TrÕi Thám TØ	0	40002167	50	20																					4000	4000																																			1010251
1030222	962	20	0	1	0		217	255	Yên chi chiªn	#{MIS_TAR_ADD_604}	#{Mis_shaolin_962}	#{RW_20080321_433}	#{RW_20080321_434}	2	Vß½ng Thi«u	0	2	Vß½ng Thi«u	0	30	961	-1	-1	1	T¥n Gia TrÕi Lâu La	0	40002168	20	1																					1000	4000	-1																																		1010400
1038000	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	20	-1	-1	-1	1		1	78	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038001	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	30	-1	-1	-1	1		1	79	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038002	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	40	-1	-1	-1	1		1	80	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038003	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	50	-1	-1	-1	1		1	81	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038004	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	60	-1	-1	-1	1		1	82	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
1038005	101	10	0	1	0	1	106	135	Nhi®m vø Mµc Uy¬n Thanh	#{YN_lootitem_02}#Y%i#{YN_lootitem_03}	#{YN_lootitem_50}#Y%i#{YN_lootitem_51}	#{RW_20080321_451}	#{RW_20080321_452}			0	2	Mµc Uy¬n Thanh	0	70	-1	-1	-1	1		1	83	100	1																							92	1	#{YN_lootitem_112}	2	#{YN_lootitem_125}	91	900	#{YN_lootitem_138}																											
