INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
120	Ban t£ng bµ Thiên C½	6	-1	-1	-1	-1	43	56	35	594	3	3124	36	198	26	536	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	Thái Ni­u	4	-1	-1	-1	-1	3	956	0	1848	37	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	Ngñ tÑ b¡c ð¦u sáo	6	-1	-1	-1	-1	42	64	35	678	0	6910	36	226	19	610	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	Ngñ tÑ bá chü sáo	6	-1	-1	-1	-1	42	72	35	762	0	7752	36	254	19	686	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
124	Ngñ tÑ nam c½ sáo	6	-1	-1	-1	-1	43	64	35	678	3	3556	36	226	26	610	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
125	Ngñ tÑ vß½ng sß sáo	6	-1	-1	-1	-1	43	72	35	762	3	3990	36	254	26	686	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
126	Yªn H¥u	5	-1	-1	-1	-1	47	8	0	5138	48	6	37	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
127	HÕo linh	5	-1	-1	-1	-1	47	10	0	5982	48	6	37	10	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
128	Xích Liên	5	-1	-1	-1	-1	47	12	0	6824	48	8	37	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
129	Bích Ng÷c	4	-1	-1	-1	-1	16	140	16	120	16	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	T¸ch Di®t	5	-1	-1	-1	-1	12	54	19	798	44	84	100	2921	-1	813	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	Ph¥n Tiên	5	-1	-1	-1	-1	9	54	19	798	35	888	100	2922	-1	814	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	Khiªu Thiên	5	-1	-1	-1	-1	15	54	9	54	36	296	100	2923	-1	815	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	Tru Ma	5	-1	-1	-1	-1	12	54	6	54	43	84	100	2924	-1	816	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	Bích Th¥n	5	-1	-1	-1	-1	6	54	12	54	45	84	100	2925	-1	817	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	C¯t Linh	5	-1	-1	-1	-1	15	54	26	798	0	9018	100	2926	-1	818	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	Thiên †n	5	-1	-1	-1	-1	6	54	19	798	37	14	100	2927	-1	819	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	Tiên D§t	5	-1	-1	-1	-1	9	54	15	54	3	4640	100	2928	-1	820	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	Ô Nh§t	5	-1	-1	-1	-1	19	798	26	798	48	30	100	2929	-1	821	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	T¥n Võ	5	-1	-1	-1	-1	29	636	26	640	3	3730	0	7246	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	T¥n H°n	5	-1	-1	-1	-1	29	712	26	716	3	4164	0	8090	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	T¥n Võ	5	-1	-1	-1	-1	22	636	19	640	3	3730	0	7246	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	T¥n H°n	5	-1	-1	-1	-1	22	712	19	716	3	4164	0	8090	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
143	Minh nguy®t	4	-1	-1	-1	-1	43	62	26	580	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
144	Bích Thiên	4	-1	-1	-1	-1	42	62	19	580	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
145	Ðµ Lô 	4	-1	-1	-1	-1	43	62	19	580	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
146	Y Lâu 	4	-1	-1	-1	-1	46	34	35	644	18	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
147	Ng÷c C¯t 	4	-1	-1	-1	-1	44	68	26	656	37	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148	Tr¥n Ph¤t	4	-1	-1	-1	-1	44	68	19	656	37	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	Hß½ng Ph¥n	4	-1	-1	-1	-1	42	70	26	656	37	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	C¥m Hoành 	4	-1	-1	-1	-1	44	68	22	652	37	40	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
151	Ðiêu Lan 	5	-1	-1	-1	-1	43	76	44	76	26	730	27	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
152	Thái Âm	5	-1	-1	-1	-1	42	76	44	76	19	730	20	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
153	Ngân Tranh 	5	-1	-1	-1	-1	44	76	42	76	26	730	30	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
154	H§n Thiên 	5	-1	-1	-1	-1	44	76	22	726	29	726	23	30	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
155	Bµ Phiêu KÜ Thanh Ð°ng	7	-1	-1	-1	-1	42	26	35	258	19	238	0	2692	36	86	37	6	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
156	Bµ Phiêu KÜ BÕch Ngân	7	-1	-1	-1	-1	42	42	35	426	19	388	0	4378	36	142	37	8	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
157	Bµ Phiêu KÜ Hoàng Kim	7	-1	-1	-1	-1	42	56	35	594	19	536	0	6066	36	198	37	10	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
158	Bµ Phiêu KÜ BÕch Kim	7	-1	-1	-1	-1	42	72	35	762	19	686	0	7752	36	254	37	12	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
159	Bµ Phiêu KÜ Thô B¯	7	-1	-1	-1	-1	43	26	35	258	26	238	3	1390	36	86	37	6	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
160	Bµ Phiêu KÜ Lång La	7	-1	-1	-1	-1	43	42	35	426	26	388	3	2256	36	142	37	8	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
161	Bµ Phiêu KÜ Kim Ty	7	-1	-1	-1	-1	43	56	35	594	26	536	3	3124	36	198	37	10	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
162	Bµ Phiêu KÜ Ðiêu Long	7	-1	-1	-1	-1	43	72	35	762	26	686	3	3990	36	254	37	12	-2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
163	Vô ¿u (Häi ngoÕi)	5	-1	-1	-1	-1	3	956	0	1848	37	4	36	72	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
164	Bích Li­u	3	-1	-1	-1	-1	26	96	46	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
165	Thanh Hà	3	-1	-1	-1	-1	44	18	36	62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
166	Th® Thüy	4	-1	-1	-1	-1	22	242	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
167	Ánh Nguy®t	3	-1	-1	-1	-1	43	34	44	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
168	Xán Tinh	4	-1	-1	-1	-1	26	394	13	4	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
169	Lôi T§p	5	-1	-1	-1	-1	26	470	12	10	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
170	Tß¶ng Không	4	-1	-1	-1	-1	43	58	44	56	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
171	Hàn Sß½ng	5	-1	-1	-1	-1	44	64	26	618	22	614	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
172	Huy«n Vû 	6	-1	-1	-1	-1	26	692	47	12	0	7838	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
173	Huyªt Ðao 	4	-1	-1	-1	-1	35	854	36	286	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
174	Nµ Anh	4	-1	-1	-1	-1	26	768	44	80	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
175	Nhu® Phong	5	-1	-1	-1	-1	44	80	46	44	43	80	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
176	Ð¦u Chuy¬n	5	-1	-1	-1	-1	12	54	26	798	44	84	100	2967	-1	1209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
177	Vô ¿u	5	-1	-1	-1	-1	22	198	29	198	36	72	35	216	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
178	Tiêu Hà 	4	-1	-1	-1	-1	0	2270	19	200	26	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
180	S½ tr¥n	4	-1	-1	-1	-1	0	2270	19	200	26	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
181	Nghênh Tân	4	-1	-1	-1	-1	0	2270	19	200	26	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
182	Trùng Lâu Thiên Thß½ng	5	-1	-1	-1	-1	100	5973	100	5974	100	5975	100	5976	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
183	Häi ngoÕi tân trình	5	-1	-1	-1	-1	22	198	29	198	36	72	35	216	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
184	Bång ngßng phong hàn	5	-1	-1	-1	-1	6	56	35	1092	44	68	100	2973	-1	1287	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
185	Höa Sí Ph¥n Di­m	5	-1	-1	-1	-1	9	56	35	1092	44	68	100	2974	-1	1288	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
186	Huy«n Quang Lôi Sát	5	-1	-1	-1	-1	12	56	35	1092	44	68	100	2975	-1	1289	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
187	Ðµc Änh Chß¾ng Hoa	5	-1	-1	-1	-1	15	56	35	1092	44	68	100	2976	-1	1290	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
188	Bång túy änh nguy®t	5	-1	-1	-1	-1	6	64	35	1218	44	76	100	2977	-1	1291	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
189	Höa Ánh T¸ch Dß½ng	5	-1	-1	-1	-1	9	64	35	1218	44	76	100	2978	-1	1292	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
190	Huy«n Minh Di®u Th¥n	5	-1	-1	-1	-1	12	64	35	1218	44	76	100	2979	-1	1293	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
191	Ðµc Minh Äm Di®t	5	-1	-1	-1	-1	15	64	35	1218	44	76	100	2980	-1	1294	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
192	Tß¶ng Long	4	-1	-1	-1	-1	19	200	26	200	48	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
193	S½ Tr¥n (Bách Sñ)	4	-1	-1	-1	-1	0	2270	19	200	26	200	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
194	HuÏnh Höa	3	-1	-1	-1	-1	26	96	44	12	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
195	Lßu Thï	3	-1	-1	-1	-1	46	10	35	182	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
196	Phi Hoa	4	-1	-1	-1	-1	47	6	48	4	37	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
197	Phúc Tuyªt	3	-1	-1	-1	-1	46	18	43	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
198	Khuynh Vân	4	-1	-1	-1	-1	26	394	13	4	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
199	Thiêm Tinh	5	-1	-1	-1	-1	47	10	12	10	37	10	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
200	Ni®m Nguy®t	4	-1	-1	-1	-1	15	14	43	58	48	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
201	V÷ng Nh§t	5	-1	-1	-1	-1	43	66	26	618	29	614	27	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
202	Huy«n Kình	6	-1	-1	-1	-1	26	692	47	12	36	258	37	12	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
203	CØu Biªn	4	-1	-1	-1	-1	29	764	35	854	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
204	Thiên Công	4	-1	-1	-1	-1	36	286	26	768	48	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
205	Sóc Quang	5	-1	-1	-1	-1	43	80	46	44	37	14	1	20	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
206	Hi Hòa	5	-1	-1	-1	-1	15	54	12	54	35	888	100	2989	-1	2742	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
207	Trùng Lâu Thiên Hñu	2	-1	-1	-1	-1	1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
