INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3021	Quy Biªn D¸	302	5	9	1	0	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	9540	13790	8480	8480	9540	5400	5940	6210	7020	8100	800	150	20	20	10	2000	3020
3029	Quy Bäo Bäo	302	5	9	0	1	1000	10	690	300000	-1	-1	658	900000	702	50000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	66236	7340	10600	6520	6520	7340	5400	5940	6210	7020	8100	800	150	20	20	10	2000	3020
3030	C¦u TØ Trß·ng Thành	303	5	9	0	0	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	11140	9420	5990	7710	5990	6420	7060	7380	8340	9630	10	20	800	20	150	2000	3030
3031	C¦u TØ Biªn D¸	303	5	9	1	0	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	14480	12250	7790	10020	7790	6420	7060	7380	8340	9630	10	20	800	20	150	2000	3030
3039	C¦u TØ Bäo Bäo	303	5	9	0	1	1000	10	684	200000	-1	-1	718	900000	706	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	11140	9420	5990	7710	5990	6420	7060	7380	8340	9630	10	20	800	20	150	2000	3030
3040	Nhím Trß·ng Thành	304	5	9	0	0	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	8570	8570	8570	8570	8570	6420	7060	7380	8340	9630	150	800	20	20	10	2000	3040
3041	Nhím Biªn D¸	304	5	9	1	0	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	11140	11140	11140	11140	11140	6420	7060	7380	8340	9630	150	800	20	20	10	2000	3040
3049	Nhím Bäo Bäo	304	5	9	0	1	10	10	737	200000	-1	-1	710	900000	659	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	8570	8570	8570	8570	8570	6420	7060	7380	8340	9630	150	800	20	20	10	2000	3040
3050	H¥u TØ Trß·ng Thành	305	5	9	0	0	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	8570	7710	6850	11140	5990	6420	7060	7380	8340	9630	20	50	20	900	10	2000	3050
3051	H¥u TØ Biªn D¸	305	5	9	1	0	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	11140	10020	8910	14480	7790	6420	7060	7380	8340	9630	20	50	20	900	10	2000	3050
3059	H¥u TØ Bäo Bäo	305	5	9	0	1	1	10	739	200000	-1	-1	734	900000	657	200000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	69828	8570	7710	6850	11140	5990	6420	7060	7380	8340	9630	20	50	20	900	10	2000	3050
3060	Tùng ThØ Trß·ng Thành	306	5	9	0	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	6270	7170	11660	7170	9860	7440	8180	8550	9670	11160	800	150	20	20	10	2000	3060
3061	Tùng ThØ Biªn D¸	306	5	9	1	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	7220	8250	13410	8250	11340	7440	8180	8550	9670	11160	800	150	20	20	10	2000	3060
3062	Tùng ThØ Biªn D¸	306	5	9	1	0	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	8160	9320	15150	9320	12820	7440	8180	8550	9670	11160	800	150	20	20	10	2000	3060
3069	Tùng ThØ Bäo Bäo	306	5	9	0	1	1	10	741	200000	-1	-1	705	900000	666	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	6270	7170	11660	7170	9860	7440	8180	8550	9670	11160	800	150	20	20	10	2000	3060
3070	Hoán Hùng Trß·ng Thành	307	5	9	0	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	8970	8970	8970	8970	8970	7440	8180	8550	9670	11160	150	800	20	20	10	2000	3070
3071	Hoán Hùng Biªn D¸	307	5	9	1	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	10310	10310	10310	10310	10310	7440	8180	8550	9670	11160	10	20	20	150	800	2000	3070
3072	Hoán Hùng Biªn D¸	307	5	9	1	0	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	11660	11660	11660	11660	11660	7440	8180	8550	9670	11160	10	20	20	150	800	2000	3070
3079	Hoán Hùng Bäo Bäo	307	5	9	0	1	1000	10	738	200000	-1	-1	726	900000	732	250000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	8970	8970	8970	8970	8970	7440	8180	8550	9670	11160	10	20	20	150	800	2000	3070
3080	Anh Vû Trß·ng Thành	308	5	9	0	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	6270	7170	11660	7170	9860	7440	8180	8550	9670	11160	20	50	20	900	10	2000	3080
3081	Anh Vû Biªn D¸	308	5	9	1	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	7220	8250	13410	8250	11340	7440	8180	8550	9670	11160	20	50	20	900	10	2000	3080
3082	Anh Vû Biªn D¸	308	5	9	1	0	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	8160	9320	15150	9320	12820	7440	8180	8550	9670	11160	20	50	20	900	10	2000	3080
3089	Anh Vû Bäo Bäo	308	5	9	0	1	1	10	740	300000	-1	-1	670	900000	728	150000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	73420	6270	7170	11660	7170	9860	7440	8180	8550	9670	11160	20	50	20	900	10	2000	3080
3090	Tích D¸ch Trß·ng Thành	309	5	9	0	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	9380	9380	9380	9380	9380	8460	9300	9720	10990	12690	150	800	20	20	10	2000	3090
3091	Tích D¸ch Biªn D¸	309	5	9	1	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	10780	10780	10780	10780	10780	8460	9300	9720	10990	12690	150	800	20	20	10	2000	3090
3092	Tích D¸ch Biªn D¸	309	5	9	1	0	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	12190	12190	12190	12190	12190	8460	9300	9720	10990	12690	150	800	20	20	10	2000	3090
3099	Tích D¸ch Bäo Bäo	309	5	9	0	1	10	10	698	200000	-1	-1	654	900000	730	250000	659	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	9380	9380	9380	9380	9380	8460	9300	9720	10990	12690	150	800	20	20	10	2000	3090
3100	D½i Trß·ng Thành	310	5	9	0	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	9380	9380	9380	9380	9380	8460	9300	9720	10990	12690	10	20	20	150	800	2000	3100
3101	D½i Biªn D¸	310	5	9	1	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	10780	10780	10780	10780	10780	8460	9300	9720	10990	12690	10	20	20	150	800	2000	3100
3102	D½i Biªn D¸	310	5	9	1	0	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	12190	12190	12190	12190	12190	8460	9300	9720	10990	12690	10	20	20	150	800	2000	3100
3109	D½i Bäo Bäo	310	5	9	0	1	10	10	700	100000	-1	-1	714	900000	657	300000	704	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	9380	9380	9380	9380	9380	8460	9300	9720	10990	12690	10	20	20	150	800	2000	3100
3110	Ðß¶ng Lang Trß·ng Thành	311	5	9	0	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	12190	10310	6560	8440	6560	8460	9300	9720	10990	12690	20	300	150	500	30	2000	3110
3111	Ðß¶ng Lang Biªn D¸	311	5	9	1	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	14020	11860	7550	9700	7550	8460	9300	9720	10990	12690	20	300	150	500	30	2000	3110
3112	Ðß¶ng Lang Biªn D¸	311	5	9	1	0	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	15850	13410	8530	10970	8530	8460	9300	9720	10990	12690	20	300	150	500	30	2000	3110
3119	Ðß¶ng Lang Bäo Bäo	311	5	9	0	1	10	10	684	200000	-1	-1	659	900000	662	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	12190	10310	6560	8440	6560	8460	9300	9720	10990	12690	20	300	150	500	30	2000	3110
3120	NgÕc Ngß Trß·ng Thành	312	5	9	0	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	8440	12190	7500	7500	8440	8460	9300	9720	10990	12690	300	500	150	30	20	2000	3120
3121	NgÕc Ngß Biªn D¸	312	5	9	1	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	9700	14020	8620	8620	9700	8460	9300	9720	10990	12690	300	500	150	30	20	2000	3120
3122	NgÕc Ngß Biªn D¸	312	5	9	1	0	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	10970	15850	9750	9750	10970	8460	9300	9720	10990	12690	300	500	150	30	20	2000	3120
3129	NgÕc Ngß Bäo Bäo	312	5	9	0	1	1000	10	690	200000	-1	-1	706	900000	652	250000	668	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	77012	8440	12190	7500	7500	8440	8460	9300	9720	10990	12690	300	500	150	30	20	2000	3120
3130	Miêu Ð¥u ¿ng Trß·ng Thành	313	45	9	0	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	9790	8810	7830	12720	6850	9480	10420	10900	12320	14220	150	800	20	20	10	2000	3130
3131	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	10760	9690	8610	13990	7530	9480	10420	10900	12320	14220	150	800	20	20	10	2000	3130
3132	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	11740	10570	9390	15270	8220	9480	10420	10900	12320	14220	150	800	20	20	10	2000	3130
3133	Miêu Ð¥u ¿ng Biªn D¸	313	45	9	1	0	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	12720	11450	10180	16540	8900	9480	10420	10900	12320	14220	150	800	20	20	10	2000	3130
3139	Miêu Ð¥u ¿ng Bäo Bäo	313	45	9	0	1	1000	10	738	200000	-1	-1	724	900000	660	250000	705	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	9790	8810	7830	12720	6850	9480	10420	10900	12320	14220	150	800	20	20	10	2000	3130
3140	Ch°n Trß·ng Thành	314	45	9	0	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	12720	10760	6850	8810	6850	9480	10420	10900	12320	14220	30	50	100	700	120	2000	3140
3141	Ch°n Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	13990	11840	7530	9690	7530	9480	10420	10900	12320	14220	30	50	100	700	120	2000	3140
3142	Ch°n Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	15270	12920	8220	10570	8220	9480	10420	10900	12320	14220	30	50	100	700	120	2000	3140
3143	Ch°n Biªn D¸	314	45	9	1	0	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	16540	13990	8900	11450	8900	9480	10420	10900	12320	14220	30	50	100	700	120	2000	3140
3149	Ch°n Bäo Bäo	314	45	9	0	1	1000	10	736	200000	-1	-1	716	900000	718	250000	703	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	12720	10760	6850	8810	6850	9480	10420	10900	12320	14220	30	50	100	700	120	2000	3140
3150	H± Trß·ng Thành	315	45	9	0	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	12720	10760	6850	8810	6850	9480	10420	10900	12320	14220	20	30	150	300	500	2000	3150
3151	H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	13990	11840	7530	9690	7530	9480	10420	10900	12320	14220	20	30	150	300	500	2000	3150
3152	H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	15270	12920	8220	10570	8220	9480	10420	10900	12320	14220	20	30	150	300	500	2000	3150
3153	H± Biªn D¸	315	45	9	1	0	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	16540	13990	8900	11450	8900	9480	10420	10900	12320	14220	20	30	150	300	500	2000	3150
3159	H± Bäo Bäo	315	45	9	0	1	1000	10	694	250000	-1	-1	722	900000	662	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	12720	10760	6850	8810	6850	9480	10420	10900	12320	14220	20	30	150	300	500	2000	3150
3160	Dã Trß Trß·ng Thành	316	45	9	0	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	12720	10760	6850	8810	6850	9480	10420	10900	12320	14220	10	20	20	150	800	2000	3160
3161	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	13990	11840	7530	9690	7530	9480	10420	10900	12320	14220	10	20	20	150	800	2000	3160
3162	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	15270	12920	8220	10570	8220	9480	10420	10900	12320	14220	10	20	20	150	800	2000	3160
3163	Dã Trß Biªn D¸	316	45	9	1	0	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	16540	13990	8900	11450	8900	9480	10420	10900	12320	14220	10	20	20	150	800	2000	3160
3169	Dã Trß Bäo Bäo	316	45	9	0	1	1	10	684	250000	-1	-1	658	900000	706	250000	722	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	80604	12720	10760	6850	8810	6850	9480	10420	10900	12320	14220	10	20	20	150	800	2000	3160
3170	Bång T¢m Trß·ng Thành	317	55	9	0	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	7140	8160	13260	8160	11220	10510	11560	12080	13660	15760	800	150	20	20	10	2000	3170
3171	Bång T¢m Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	7670	8770	14250	8770	12060	10510	11560	12080	13660	15760	800	150	20	20	10	2000	3170
3172	Bång T¢m Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	8210	9380	15240	9380	12900	10510	11560	12080	13660	15760	800	150	20	20	10	2000	3170
3173	Bång T¢m Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	8740	9990	16240	9990	13740	10510	11560	12080	13660	15760	800	150	20	20	10	2000	3170
3174	Bång T¢m Biªn D¸	317	55	9	1	0	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	9280	10600	17230	10600	14580	10510	11560	12080	13660	15760	800	150	20	20	10	2000	3170
3179	Bång T¢m Bäo Bäo	317	55	9	0	1	10	10	737	200000	-1	-1	652	900000	664	250000	702	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	7140	8160	13260	8160	11220	10510	11560	12080	13660	15760	800	150	20	20	10	2000	3170
3180	¿ng Trß·ng Thành	318	55	9	0	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	10200	9180	8160	13260	7140	10510	11560	12080	13660	15760	10	20	20	150	800	2000	3180
3181	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	10960	9860	8770	14250	7670	10510	11560	12080	13660	15760	10	20	20	150	800	2000	3180
3182	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	11730	10550	9380	15240	8210	10510	11560	12080	13660	15760	10	20	20	150	800	2000	3180
3183	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	12490	11240	9990	16240	8740	10510	11560	12080	13660	15760	10	20	20	150	800	2000	3180
3184	¿ng Biªn D¸	318	55	9	1	0	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	13260	11930	10600	17230	9280	10510	11560	12080	13660	15760	10	20	20	150	800	2000	3180
3189	¿ng Bäo Bäo	318	55	9	0	1	1000	10	738	300000	-1	-1	712	900000	659	250000	726	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	10200	9180	8160	13260	7140	10510	11560	12080	13660	15760	10	20	20	150	800	2000	3180
3190	Ðà Ði¬u Trß·ng Thành	319	55	9	0	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	10200	9180	8160	13260	7140	10510	11560	12080	13660	15760	500	300	150	30	20	2000	3190
3191	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	10960	9860	8770	14250	7670	10510	11560	12080	13660	15760	500	300	150	30	20	2000	3190
3192	Ðà Ði¬u Biªn D¸	319	55	9	1	0	11	10	698	300000	-1	-1	728	900000	668	250000	716	100000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	84195	11730	10550	9380	15240	8210	10510	11560	12080	13660	15760	500	300	150	30	20	2000	3190
