INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT
10200010	1	2	0	10	0	439	1	-1	-1	BÕch luy®n	100	Tinh hoa nh§t nguy®t thiên niên sñ, can phú mÕc nha bách luy®n binh.	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_10	µ¶¸«Àà	2009	2002	0
10200011	1	2	0	11	0	411	1	-1	-1	Tam ðính khäm s½n ðao	10	Thân ðao rµng to và n£ng, lßÞi dao möng, ðao chia làm 3 ðoÕn, thích hþp cho ngß¶i m¾i vào giang h° sØ døng.	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_2	µ¶¸«Àà	2000	2002	0
10200012	1	2	0	12	0	414	1	-1	-1	Li­u di®p phát phong ðao	20	Cán ðao làm b¢ng ð°ng, lßÞi ðao möng, dÕng gþn sóng, lþi hÕi trong sát thß½ng kë ð¸ch.	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_7	µ¶¸«Àà	2001	2002	0
10200013	1	2	0	13	0	422	1	-1	-1	Nguy®t nha khai s½n phü	30	LßÞi búa nhß hai mänh trång lß¾i li«m, s¡c bén không gì sánh n±i, ánh sáng l¤p lánh.	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_11	µ¶¸«Àà	2010	2002	0
10200014	1	2	0	14	0	415	1	-1	-1	Bäo quang xa luân phü	40	Búa dài 9 t¤c 5 th¯n, n£ng 82 cân, thân ðao có dát thÕch ng÷c, giá tr¸ liên thành, tß½ng truy«n do danh tß¾ng th¶i Tam Qu¯c dùng.	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword1_14	µ¶¸«Àà	2003	2002	0
10200015	1	2	0	15	0	430	1	-1	-1	Ngû hành nh§t nguy®t sän	50	Thân cüa xëng ¦n s½ ð° Ngû hành, dß¾i ánh sáng m£t tr¶i và ánh trång ð«u có th¬ th¤y ðßþc, uy lñc không lß¶ng.	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_3	µ¶¸«Àà	2004	2002	0
10200016	1	2	0	16	0	432	1	-1	-1	Kim Ðïnh táo dß½ng sóc	60	Do chân nhân phái Hoa S½n ðúc nên, huy«n thiªt nghìn nåm hàn bång vÕn nåm, t§p hþp linh khí cüa m£t trång, g£p m£t trång thì uy lñc tång mÕnh	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_7	µ¶¸«Àà	2005	2002	0
10200017	1	2	0	17	0	440	1	-1	-1	Chu Tß¾c phách thiên phü	70	Thßþng c± th¥n khí, truy«n là th¥n bäo v® cüa bµ tµc Chu Tß¾c, lßu lÕc nhân gian, uy lñc vô song.	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword2_12	µ¶¸«Àà	2011	2002	0
10200018	1	2	0	18	0	446	1	-1	-1	ThØ ly	80	Th¥n linh, ma quÖ ð«u tránh, chï có thØ ly	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_1	µ¶¸«Àà	2012	2002	0
10200019	1	2	0	19	0	447	1	-1	-1	HoÕ phúc	90	HoÕ phúc vô t¡c, biªn ð±i khôn lß¶ng	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_6	µ¶¸«Àà	2013	2002	0
10200020	1	2	0	20	0	454	1	-1	-1	Bách chiªn	100	Truy«n r¢ng xu¤t tñ Công thâu thü, là loÕi bách chiªn th¥n binh vÕn nåm.	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Broadsword3_11	µ¶¸«Àà	2014	2002	0
10201001	1	2	1	1	0	366	1	-1	-1	Tam c± lßþng ngân xoa	10	Có màu bÕc, lßÞi xoa nh÷n nhö, r¤t lþi hÕi khi sØ døng ð¬ giªt kë ð¸ch.	180	864	125	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	28	-1	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_2	Ç¹°ôÀà	2015	2002	0
10201002	1	2	1	2	0	370	1	-1	-1	Th¥n phi câu liêm thß½ng	20	Dß¾i ð¥u thß½ng mang hình trång lßÞi li«m, ðßþc làm r¤t tÖ mï, tinh tª, ðáng giá ngàn vàng.	540	2592	137	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	48	-1	48	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_6	Ç¹°ôÀà	2016	2002	0
10201003	1	2	1	3	0	374	1	-1	-1	BÕch ng÷c ð¢ng long thß½ng	30	Thân ðao gi¯ng nhß r°ng giß½ng cánh bay lßþn, lßÞi thß½ng nhß huy«n bång, có sÑc mÕnh công phá t¤t cä.	1150	5520	150	3	0	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	68	-1	68	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_10	Ç¹°ôÀà	2017	2002	0
10201004	1	2	1	4	0	379	1	-1	-1	Tam c± thác thiên xoa	40	Là mµt trong 18 pháp khí mà khi hoà thßþng vân du thß¶ng mang theo ngß¶i, có th¬ ðu±i r¡n ch¤n tích hoá duyên, cûng có th¬ ch¯ng lÕi ma quÖ.	1780	8544	162	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	88	-1	88	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear1_15	Ç¹°ôÀà	2018	2002	0
10201005	1	2	1	5	0	382	1	-1	-1	Thú giác ði¬m kim thß½ng	50	Tß½ng truy«n là vû khí cüa La Hán phøc h±, bên trong có linh h°n cüa bÕch h± trong b¯n th¥n thú, tr× di®t t§n g¯c r­, giáng yêu tr× quÖ.	2700	12960	175	3	1	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	108	-1	108	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_2	Ç¹°ôÀà	2019	2002	0
10201006	1	2	1	6	0	387	1	-1	-1	Ð¸a hoä huy«n lß thß½ng	60	Có màu huyªt kim, ð¥u thß½ng phân làm 3 nhánh, nhß ng÷n lØa bùng cháy, linh hoÕt, ti®n lþi, ðªn ðâu, màu thß½ng và màu máu cüa ð¸ch hoà thành mµt.	3850	18480	187	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	128	-1	128	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_7	Ç¹°ôÀà	2020	2002	0
10201007	1	2	1	7	0	392	1	-1	-1	Ph§t mçu tØ kim thß½ng	70	Tß½ng truy«n là vû khí cüa Vß½ng mçu thß·ng cho Nam Thiên tß¾ng quân, dài 8 thß¾c, màu tØ kim, không biªt làm t× kim loÕi gì, sát khí ð¢ng ð¢ng.	5570	26736	200	3	2	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	148	-1	148	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear2_12	Ç¹°ôÀà	2021	2002	0
10201008	1	2	1	8	0	397	1	-1	-1	Tr¤n nhÕc ðoÕn h°n	80	Ðßþc tÕo b·i thiên hÕ ð® nh¤t danh gia L¸ch Bát Täi, ph¥n thân thß½ng ðßþc kh¡c mµt chu²i liên hoàn các ngôi sao, sáng l¤p lánh trong ðêm, khiªn yêu ma phäi l¦n tránh.	7450	35760	212	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	0	-1	-1	-1	-1	168	-1	168	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_1	Ç¹°ôÀà	2022	2002	0
10201009	1	2	1	9	0	401	1	-1	-1	Toä h¥u	90	Nhân trung Nam Nµ B¡c Ki«u chß·ng, ðao lý truy«n ngôn duy toä h¥u.	9950	47760	225	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	188	-1	188	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_5	Ç¹°ôÀà	2023	2002	0
10201010	1	2	1	10	0	406	1	-1	-1	Trß¶ng lÕc	100	Vô sñ giang h° s¯ täi tînh, trß¶ng lÕc hi®n thª thª gian kinh.	16000	76800	237	3	3	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	2380000	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	2380000	-1	-1	-1	-1	-1	-1	-1	-1	2380000	2380000	2380000	-1	-1	-1	-1	2380000	2380000	2380000	2380000	2380000	-1	2380000	-1	-1	-1	-1	-1	208	-1	208	-1	-1	-1	-1	-1	-1	-1	-1	-1	Spear3_10	Ç¹°ôÀà	2024	2002	0
