INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT
19	0	Å®Ö÷½ÇÍ··¢17.mesh	Bäo miên phát	Å®Ö÷½ÇÍ··¢17	20307110	1	3	PeiFang_5	50000
20	0	Å®Ö÷½ÇÍ··¢10.mesh	Sa phong phát	Å®Ö÷½ÇÍ··¢10	20307111	1	2	PeiFang_5	50000
21	0	Å®Ö÷½ÇÍ··¢11.mesh	Huy nguy®t phát	Å®Ö÷½ÇÍ··¢11	20307112	1	2	PeiFang_5	50000
22	0	Å®Ö÷½ÇÍ··¢12.mesh	Thiên kª phát	Å®Ö÷½ÇÍ··¢12	20307113	1	2	PeiFang_5	50000
23	0	Å®Ö÷½ÇÍ··¢13.mesh	Phßþng kª phát	Å®Ö÷½ÇÍ··¢13	20307114	1	2	PeiFang_5	50000
24	0	Å®Ö÷½ÇÍ··¢14.mesh	Nhân vân phát	Å®Ö÷½ÇÍ··¢14	20307115	1	2	PeiFang_5	50000
25	0	Å®Ö÷½ÇÍ··¢15.mesh	Vân t¤n phát	Å®Ö÷½ÇÍ··¢15	20307116	1	2	PeiFang_5	50000
26	0	Å®Ö÷½ÇÍ··¢16.mesh	Chuy tß phát	Å®Ö÷½ÇÍ··¢16	20307117	1	2	PeiFang_5	50000
27	0	Å®Ö÷½ÇÍ··¢18.mesh	Hành vân phát	Å®Ö÷½ÇÍ··¢18	20307118	1	2	PeiFang_5	50000
28	0	Å®Ö÷½ÇÍ··¢19.mesh	Thi«n dñc phát	Å®Ö÷½ÇÍ··¢19	20307119	1	2	PeiFang_5	50000
29	0	Å®Ö÷½ÇÍ··¢20.mesh	Phi yªn phát	Å®Ö÷½ÇÍ··¢20	20307120	1	2	PeiFang_5	50000
30	1	ÄÐÖ÷½ÇÍ··¢10.mesh	Sa phong phát	ÄÐÖ÷½ÇÍ··¢10	20307111	1	2	PeiFang_5	50000
31	1	ÄÐÖ÷½ÇÍ··¢11.mesh	Huy nguy®t phát	ÄÐÖ÷½ÇÍ··¢11	20307112	1	2	PeiFang_5	50000
32	1	ÄÐÖ÷½ÇÍ··¢12.mesh	Thiên kª phát	ÄÐÖ÷½ÇÍ··¢12	20307113	1	2	PeiFang_5	50000
33	1	ÄÐÖ÷½ÇÍ··¢13.mesh	Phßþng kª phát	ÄÐÖ÷½ÇÍ··¢13	20307114	1	2	PeiFang_5	50000
34	1	ÄÐÖ÷½ÇÍ··¢15.mesh	Nhân vân phát	ÄÐÖ÷½ÇÍ··¢15	20307115	1	2	PeiFang_5	50000
35	1	ÄÐÖ÷½ÇÍ··¢16.mesh	Vân t¤n phát	ÄÐÖ÷½ÇÍ··¢16	20307116	1	2	PeiFang_5	50000
36	1	ÄÐÖ÷½ÇÍ··¢17.mesh	Chuy tß phát	ÄÐÖ÷½ÇÍ··¢17	20307117	1	2	PeiFang_5	50000
37	1	ÄÐÖ÷½ÇÍ··¢18.mesh	Hành vân phát	ÄÐÖ÷½ÇÍ··¢18	20307118	1	2	PeiFang_5	50000
38	1	ÄÐÖ÷½ÇÍ··¢19.mesh	Thi«n dñc phát	ÄÐÖ÷½ÇÍ··¢19	20307119	1	2	PeiFang_5	50000
39	1	ÄÐÖ÷½ÇÍ··¢20.mesh	Phi yªn phát	ÄÐÖ÷½ÇÍ··¢20	20307120	1	2	PeiFang_5	50000
40	0	Å®Ö÷½ÇÍ··¢21.mesh	Lång vân phát	Å®Ö÷½ÇÍ··¢21	20307121	1	2	PeiFang_5	50000
41	0	Å®Ö÷½ÇÍ··¢22.mesh	DÕ hành phát	Å®Ö÷½ÇÍ··¢22	20307122	1	2	PeiFang_5	50000
42	0	Å®Ö÷½ÇÍ··¢23.mesh	Phiêu tuyªt phát	Å®Ö÷½ÇÍ··¢23	20307123	1	2	PeiFang_5	50000
43	0	Å®Ö÷½ÇÍ··¢24.mesh	Vân kªt phát	Å®Ö÷½ÇÍ··¢24	20307124	1	2	PeiFang_5	50000
44	1	ÄÐÖ÷½ÇÍ··¢21.mesh	Lång vân phát	ÄÐÖ÷½ÇÍ··¢21	20307121	1	2	PeiFang_5	50000
45	1	ÄÐÖ÷½ÇÍ··¢22.mesh	DÕ hành phát	ÄÐÖ÷½ÇÍ··¢22	20307122	1	2	PeiFang_5	50000
46	1	ÄÐÖ÷½ÇÍ··¢23.mesh	Phiêu tuyªt phát	ÄÐÖ÷½ÇÍ··¢23	20307123	1	2	PeiFang_5	50000
47	1	ÄÐÖ÷½ÇÍ··¢24.mesh	Vân kªt phát	ÄÐÖ÷½ÇÍ··¢24	20307124	1	2	PeiFang_5	50000
48	0	Å®Ö÷½ÇÍ··¢25.mesh	Minh y phát	Å®Ö÷½ÇÍ··¢25	20307126	1	2	PeiFang_5	50000
49	1	ÄÐÖ÷½ÇÍ··¢25.mesh	Minh y phát	ÄÐÖ÷½ÇÍ··¢25	20307126	1	2	PeiFang_5	50000
50	0	Å®Ö÷½ÇÍ··¢ÏÉÂÂÆæÔµ.mesh	Tiên læ phát	Å®Ö÷½ÇÍ··¢ÏÉÂÂÆæÔµ	20307127	1	2	PeiFang_5	50000
51	1	ÄÐÖ÷½ÇÍ··¢ÏÉÂÂÆæÔµ.mesh	Tiên læ phát	ÄÐÖ÷½ÇÍ··¢ÏÉÂÂÆæÔµ	20307127	1	2	PeiFang_5	50000
52	0	Å®Ö÷½ÇÍ··¢ÇåÁ¹.mesh	Tuyªt vû phát	Å®Ö÷½ÇÍ··¢ÇåÁ¹	20307125	1	2	PeiFang_5	50000
53	1	ÄÐÖ÷½ÇÍ··¢ÇåÁ¹.mesh	Tuyªt vû phát	ÄÐÖ÷½ÇÍ··¢ÇåÁ¹	20307125	1	2	PeiFang_5	50000
54	0	Å®Ö÷½ÇÍ··¢29.mesh	Ly mµng phát	Å®Ö÷½ÇÍ··¢29	20307130	1	2	PeiFang_5	50000
55	1	ÄÐÖ÷½ÇÍ··¢29.mesh	Ly mµng phát	ÄÐÖ÷½ÇÍ··¢29	20307130	1	2	PeiFang_5	50000
56	0	Å®Ö÷½ÇÍ··¢30.mesh	Phi bµc phát	Å®Ö÷½ÇÍ··¢30	20307128	1	2	PeiFang_5	50000
57	1	ÄÐÖ÷½ÇÍ··¢30.mesh	Phi bµc phát	ÄÐÖ÷½ÇÍ··¢30	20307128	1	2	PeiFang_5	50000
58	0	Å®Ö÷½ÇÍ··¢31.mesh	Lam vân phát	Å®Ö÷½ÇÍ··¢31	20307129	1	2	PeiFang_5	50000
59	1	ÄÐÖ÷½ÇÍ··¢31.mesh	Lam vân phát	ÄÐÖ÷½ÇÍ··¢31	20307129	1	2	PeiFang_5	50000
60	0	Å®Ö÷½ÇÍ··¢32.mesh	U±ng Cü Phát	Å®Ö÷½ÇÍ··¢32	20307133	1	2	PeiFang_5	50000
61	1	ÄÐÖ÷½ÇÍ··¢32.mesh	U±ng Cü Phát	ÄÐÖ÷½ÇÍ··¢32	20307133	1	2	PeiFang_5	50000
62	0	Å®Ö÷½ÇÍ··¢34.mesh	Cu°ng Lan Phát	Å®Ö÷½ÇÍ··¢34	20307135	1	2	PeiFang_5	50000
63	1	ÄÐÖ÷½ÇÍ··¢35.mesh	Cu°ng Lan Phát	ÄÐÖ÷½ÇÍ··¢35	20307135	1	2	PeiFang_5	50000
64	1	ÄÐÖ÷½ÇÍ··¢36a.mesh	U liêm phát	ÄÐÖ÷½ÇÍ··¢36a	20307137	1	2	PeiFang_5	50000
65	0	Å®Ö÷½ÇÍ··¢35.mesh	U liêm phát	Å®Ö÷½ÇÍ··¢35	20307137	1	2	PeiFang_5	50000
66	1	ÄÐÖ÷½ÇÍ·Æ¤01.mesh	Li­u tr¥n phát	ÄÐÖ÷½ÇÍ·Æ¤01	20307139	1	2	PeiFang_5	50000
67	0	Å®Ö÷½ÇÍ·Æ¤01.mesh	Li­u tr¥n phát	Å®Ö÷½ÇÍ·Æ¤01	20307139	1	2	PeiFang_5	50000
68	1	ÄÐÖ÷½ÇÍ··¢37.mesh	Th¤m bàn phát	ÄÐÖ÷½ÇÍ··¢37	20307142	1	2	PeiFang_5	50000
69	0	Å®Ö÷½ÇÍ··¢36.mesh	Th¤m bàn phát	Å®Ö÷½ÇÍ··¢36	20307142	1	2	PeiFang_5	50000
70	0	Å®Ö÷½ÇÍ··¢40.mesh	D§t khinh phát	Å®Ö÷½ÇÍ··¢40	20307144	1	2	PeiFang_5	50000
71	0	Å®Ö÷½ÇÍ··¢41.mesh	Nhß nguy®t phát	Å®Ö÷½ÇÍ··¢41	20307143	1	2	PeiFang_5	50000
72	1	ÄÐÖ÷½ÇÍ··¢38.mesh	D§t khinh phát	ÄÐÖ÷½ÇÍ··¢38	20307144	1	2	PeiFang_5	50000
73	1	ÄÐÖ÷½ÇÍ··¢41.mesh	Nhß nguy®t phát	ÄÐÖ÷½ÇÍ··¢41	20307143	1	2	PeiFang_5	50000
74	0	Å®Ö÷½ÇÍ··¢46.mesh	U lß½ng phát	Å®Ö÷½ÇÍ··¢46	20307146	1	2	PeiFang_5	50000
75	0	Å®Ö÷½ÇÍ··¢47.mesh	Anh vû phát	Å®Ö÷½ÇÍ··¢47	20307145	1	2	PeiFang_5	50000
76	1	ÄÐÖ÷½ÇÍ··¢45.mesh	Anh vû phát	ÄÐÖ÷½ÇÍ··¢45	20307145	1	2	PeiFang_5	50000
77	1	ÄÐÖ÷½ÇÍ··¢47.mesh	U lß½ng phát	ÄÐÖ÷½ÇÍ··¢47	20307146	1	2	PeiFang_5	50000
78	0	Å®Ö÷½ÇÍ··¢52.mesh	Vân thüy phát	Å®Ö÷½ÇÍ··¢52	20307147	1	2	PeiFang_5	50000
79	1	ÄÐÖ÷½ÇÍ··¢52.mesh	Vân thüy phát	ÄÐÖ÷½ÇÍ··¢52	20307147	1	2	PeiFang_5	50000
80	0	Å®Ö÷½ÇÍ··¢58.mesh	Tu¤n d§t phát	Å®Ö÷½ÇÍ··¢58	20307148	1	2	PeiFang_5	50000
81	1	ÄÐÖ÷½ÇÍ··¢53.mesh	Tu¤n d§t phát	ÄÐÖ÷½ÇÍ··¢53	20307148	1	2	PeiFang_5	50000
82	0	Å®Ö÷½ÇÍ··¢60.mesh	Liên thành phát	Å®Ö÷½ÇÍ··¢60	20307149	1	2	PeiFang_5	50000
83	1	ÄÐÖ÷½ÇÍ··¢44.mesh	Liên thành phát	ÄÐÖ÷½ÇÍ··¢44	20307149	1	2	PeiFang_5	50000
84	1	ÄÐÖ÷½Ç·¢ÐÍ58.mesh	Trùng vân phát	ÄÐÖ÷½Ç·¢ÐÍ58	20307150	1	2	PeiFang_5	50000
85	0	Å®Ö÷½ÇÍ··¢61.mesh	Trùng vân phát	Å®Ö÷½ÇÍ··¢61	20307150	1	2	PeiFang_5	50000
10001	0	Å®Ö÷½Ç¸ßÄ£Í··¢02.mesh	Du tiên phát	Å®Ö÷½Ç¸ßÄ£Í··¢02	20307102	1	-1	PeiFang_5	50000
10005	1	ÄÐÖ÷½Ç¸ßÄ£Í··¢01.mesh	Lßu vân phát	ÄÐÖ÷½Ç¸ßÄ£Í··¢01	20307101	1	-1	PeiFang_5	50000
10012	1	ÄÐÖ÷½Ç¸ßÄ£Í··¢03.mesh	T¤n hoa phát	ÄÐÖ÷½Ç¸ßÄ£Í··¢03	20307108	1	-1	PeiFang_5	50000
10014	1	ÄÐÖ÷½Ç¸ßÄ£Í··¢02.mesh	Bäo c¦m phát	ÄÐÖ÷½Ç¸ßÄ£Í··¢02	20307110	1	-1	PeiFang_5	50000
10017	0	Å®Ö÷½Ç¸ßÄ£Í··¢08.mesh	T¤n hoa phát	Å®Ö÷½Ç¸ßÄ£Í··¢08	20307108	1	-1	PeiFang_5	50000
10019	0	Å®Ö÷½Ç¸ßÄ£Í··¢17.mesh	Bäo c¦m phát	Å®Ö÷½Ç¸ßÄ£Í··¢17	20307110	1	-1	PeiFang_5	50000
