INT	INT	STRING
832	85	Ðß½ng H²
833	95	Ðß½ng H²
834	5	Häi T£c ThØ
835	45	Häi T£c ThØ
836	55	Häi T£c ThØ
837	65	Häi T£c ThØ
838	75	Häi T£c ThØ
839	85	Häi T£c ThØ
840	95	Häi T£c ThØ
841	5	Bäo Rß½ng Ð°ng TØ
842	45	Bäo Rß½ng Ð°ng TØ
843	55	Bäo Rß½ng Ð°ng TØ
844	65	Bäo Rß½ng Ð°ng TØ
845	75	Bäo Rß½ng Ð°ng TØ
846	85	Bäo Rß½ng Ð°ng TØ
847	95	Bäo Rß½ng Ð°ng TØ
848	5	Thø ÐÕi Hùng
849	45	Thø ÐÕi Hùng
850	55	Thø ÐÕi Hùng
851	65	Thø ÐÕi Hùng
852	75	Thø ÐÕi Hùng
853	85	Thø ÐÕi Hùng
854	95	Thø ÐÕi Hùng
856	5	Hoan LÕc Trß
857	45	Hoan LÕc Trß
858	55	Hoan LÕc Trß
859	65	Hoan LÕc Trß
860	75	Hoan LÕc Trß
861	85	Hoan LÕc Trß
862	95	Hoan LÕc Trß
863	55	Höa Tông Yêu ThØ
864	75	Viêm Höa Yêu ThØ
865	65	Huy«n Dñc Ma Thú
866	75	Xuy Huy«n Ma Thú
867	65	Trân KÏ ThØ
868	75	KÏ Lân
869	85	Cát Tß¶ng Miêu
870	5	Trân KÏ ThØ
871	45	Trân KÏ ThØ
872	55	Trân KÏ ThØ
873	85	Ma Nha BÕo Long
874	5	Ðß¶ng Trang ThØ
875	45	Ðß¶ng Trang ThØ
876	55	Ðß¶ng Trang ThØ
877	65	Ðß¶ng Trang ThØ
878	75	Ðß¶ng Trang ThØ
879	85	Ðß¶ng Trang ThØ
880	95	Ðß¶ng Trang ThØ
881	5	Niên Thú
882	45	Niên Thú
883	55	Niên Thú
884	65	Niên Thú
885	75	Niên Thú
886	85	Niên Thú
887	95	Niên Thú
888	5	Uyên ß½ng
889	45	Uyên ß½ng
890	55	Uyên ß½ng
891	65	Uyên ß½ng
892	75	Uyên ß½ng
893	85	Uyên ß½ng
894	95	Uyên ß½ng
895	65	C¥u Long
896	45	Mao Lß
897	55	Mao Lß
898	65	Mao Lß
2200	5	Cùng KÏ
2201	45	Cùng KÏ
2202	55	Cùng KÏ
2203	65	Cùng KÏ
2204	75	Cùng KÏ
2205	85	Cùng KÏ
2206	95	Cùng KÏ
2207	5	Ti¬u H° Tiên
2208	45	Ti¬u H° Tiên
2209	55	Ti¬u H° Tiên
2210	65	Ti¬u H° Tiên
2211	75	Ti¬u H° Tiên
2212	85	Ti¬u H° Tiên
2213	95	Ti¬u H° Tiên
2214	5	Thßþng C± Th¥n Viên
2215	45	Thßþng C± Th¥n Viên
2216	55	Thßþng C± Th¥n Viên
2217	65	Thßþng C± Th¥n Viên
2218	75	Thßþng C± Th¥n Viên
2219	85	Thßþng C± Th¥n Viên
2220	75	C¥u Long
2221	5	TÖ Dñc Ði¬u
2222	45	TÖ Dñc Ði¬u
2223	55	TÖ Dñc Ði¬u
2224	65	TÖ Dñc Ði¬u
2225	75	TÖ Dñc Ði¬u
2226	85	TÖ Dñc Ði¬u
2227	95	TÖ Dñc Ði¬u
2228	5	Ng¯c Ng¯c Ngßu
2229	45	Ng¯c Ng¯c Ngßu
2230	55	Ng¯c Ng¯c Ngßu
2231	65	Ng¯c Ng¯c Ngßu
2232	75	Ng¯c Ng¯c Ngßu
2233	85	Ng¯c Ng¯c Ngßu
2234	95	Ng¯c Ng¯c Ngßu
2235	5	Trân KÏ Ngßu
2236	45	Trân KÏ Ngßu
2237	55	Trân KÏ Ngßu
2238	65	Trân KÏ Ngßu
2239	75	Trân KÏ Ngßu
2240	85	Trân KÏ Ngßu
2241	95	Trân KÏ Ngßu
2242	5	KÏ Lân
2243	45	KÏ Lân
2244	55	KÏ Lân
2245	65	KÏ Lân
2246	75	KÏ Lân
2247	85	KÏ Lân
2248	95	KÏ Lân
2249	5	go TØ
2250	45	go TØ
2251	55	go TØ
2252	65	go TØ
2253	75	go TØ
2254	85	go TØ
2255	95	go TØ
2256	85	Th¥n Viên
2257	95	Th¥n Viên
2258	5	Nham H°n
2259	45	Nham H°n
2260	55	Nham H°n
2261	65	Nham H°n
2262	75	Nham H°n
2263	85	Nham H°n
2264	95	Nham H°n
2265	5	Th¤t T¸ch Uyên ¿½ng
2266	45	Th¤t T¸ch Uyên ¿½ng
2267	55	Th¤t T¸ch Uyên ¿½ng
2268	65	Th¤t T¸ch Uyên ¿½ng
2269	75	Th¤t T¸ch Uyên ¿½ng
2270	85	Th¤t T¸ch Uyên ¿½ng
2271	95	Th¤t T¸ch Uyên ¿½ng
2272	5	Phª Sài
2273	45	Phª Sài
2274	55	Phª Sài
2275	65	Phª Sài
2276	75	Phª Sài
2277	85	Phª Sài
2278	95	Phª Sài
2279	5	Linh Th¯ Thú
2280	45	Linh Th¯ Thú
2281	55	Linh Th¯ Thú
2282	65	Linh Th¯ Thú
2283	75	Linh Th¯ Thú
2284	85	Linh Th¯ Thú
2285	95	Linh Th¯ Thú
2286	5	Chí Tôn Th¥n Thú
2287	45	Chí Tôn Th¥n Thú
2288	55	Chí Tôn Th¥n Thú
2289	65	Chí Tôn Th¥n Thú
2290	75	Chí Tôn Th¥n Thú
2291	85	Chí Tôn Th¥n Thú
2292	95	Chí Tôn Th¥n Thú
2293	5	Khäi Khäi Sß
2294	5	Hß½ng Ði«m Höa Kê
2295	45	Th¯ Tiêu Höa Kê
2296	55	Ba Gia Höa Kê
2297	65	Lam Môi Höa Kê
2298	75	Toán Nê Höa Kê
2299	85	Già Ly Höa Kê
2300	95	Nãi Du Höa Kê
2301	5	SØu Ti¬u Áp
2302	55	SØu Ti¬u Áp
2303	85	SØu Ti¬u Áp
2304	5	Hoa Tiên TØ
2305	45	Hoa Tiên TØ
2306	55	Hoa Tiên TØ
2307	65	Hoa Tiên TØ
2308	75	Hoa Tiên TØ
2309	85	Hoa Tiên TØ
2310	95	Hoa Tiên TØ
2311	5	Tu¥n Lµc
2312	45	Tu¥n Lµc
2313	55	Tu¥n Lµc
2314	65	Tu¥n Lµc
2315	75	Tu¥n Lµc
2316	85	Tu¥n Lµc
2317	95	Tu¥n Lµc
2318	5	Trân KÏ H±
2319	45	Trân KÏ H±
2320	55	Trân KÏ H±
2321	65	Trân KÏ H±
2322	75	Trân KÏ H±
2323	85	Trân KÏ H±
2324	95	Trân KÏ H±
2325	5	B¯ Lão H±
2326	45	B¯ Lão H±
2327	55	B¯ Lão H±
2328	65	B¯ Lão H±
2329	75	B¯ Lão H±
2330	85	B¯ Lão H±
2331	95	B¯ Lão H±
2332	85	Bång Ðiêu Long
2333	5	„u Xï Long
2334	45	„u Xï Long
2335	55	„u Xï Long
2336	65	„u Xï Long
2337	75	„u Xï Long
2338	85	„u Xï Long
2339	95	„u Xï Long
2340	5	Hùng Miêu Song Hi®p
2341	45	Hùng Miêu Song Hi®p
2342	55	Hùng Miêu Song Hi®p
2343	65	Hùng Miêu Song Hi®p
2344	75	Hùng Miêu Song Hi®p
2345	85	Hùng Miêu Song Hi®p
2346	95	Hùng Miêu Song Hi®p
2347	20	Chiêu Sài Miêu
2349	5	Chß½ng Ngß
2350	45	Chß½ng Ngß
2351	55	Chß½ng Ngß
2352	65	Chß½ng Ngß
2353	75	Chß½ng Ngß
2354	85	Chß½ng Ngß
2355	95	Chß½ng Ngß
2356	5	Ði®p Luyªn Hoa
2357	45	Ði®p Luyªn Hoa
2358	55	Ði®p Luyªn Hoa
2359	65	Ði®p Luyªn Hoa
2360	75	Ði®p Luyªn Hoa
2361	85	Ði®p Luyªn Hoa
2362	95	Ði®p Luyªn Hoa
2363	5	Khôi L²i Lang
2364	45	Khôi L²i Lang
2365	55	Khôi L²i Lang
2366	65	Khôi L²i Lang
2367	75	Khôi L²i Lang
2368	85	Khôi L²i Lang
2369	95	Khôi L²i Lang
2370	5	Cß½ng Thi
2371	5	Ngû S¡c Th¥n Ngßu
2372	45	Ngû S¡c Th¥n Ngßu
2373	55	Ngû S¡c Th¥n Ngßu
2374	65	Ngû S¡c Th¥n Ngßu
2375	75	Ngû S¡c Th¥n Ngßu
2376	85	Ngû S¡c Th¥n Ngßu
2377	95	Ngû S¡c Th¥n Ngßu
2378	45	Cß½ng Thi
2379	55	Cß½ng Thi
2380	65	Cß½ng Thi
2381	75	Cß½ng Thi
2382	85	Cß½ng Thi
2383	95	Cß½ng Thi
2384	5	U Minh Lang Yêu
2385	45	U Minh Lang Yêu
2386	55	U Minh Lang Yêu
2387	65	U Minh Lang Yêu
2388	75	U Minh Lang Yêu
2389	85	U Minh Lang Yêu
2390	95	U Minh Lang Yêu
2391	5	Th¤t Xäo Ly Miêu
2392	45	Th¤t Xäo Ly Miêu
2393	55	Th¤t Xäo Ly Miêu
2394	65	Th¤t Xäo Ly Miêu
2395	75	Th¤t Xäo Ly Miêu
2396	85	Th¤t Xäo Ly Miêu
2397	95	Th¤t Xäo Ly Miêu
2398	5	Ng÷c Loan Phøng
2399	45	Ng÷c Loan Phøng
2400	55	Ng÷c Loan Phøng
2401	65	Ng÷c Loan Phøng
2402	75	Ng÷c Loan Phøng
2403	85	Ng÷c Loan Phøng
2404	95	Ng÷c Loan Phøng
2405	5	Th¥n Xí Nga
2406	45	Th¥n Xí Nga
2407	55	Th¥n Xí Nga
2409	75	Th¥n Xí Nga
2410	85	Th¥n Xí Nga
2411	95	Th¥n Xí Nga
2412	5	Linh Th¯ Song Ki®t
2413	45	Linh Th¯ Song Ki®t
2414	55	Linh Th¯ Song Ki®t
2415	65	Linh Th¯ Song Ki®t
2416	75	Linh Th¯ Song Ki®t
2417	85	Linh Th¯ Song Ki®t
2418	95	Linh Th¯ Song Ki®t
2419	5	Man ThÕch Quái
2420	45	Man ThÕch Quái
2421	55	Man ThÕch Quái
2422	65	Man ThÕch Quái
2423	75	Man ThÕch Quái
2424	85	Man ThÕch Quái
2425	95	Man ThÕch Quái
2426	5	Tinh Linh Th¯
2427	45	Tinh Linh Th¯
2428	55	Tinh Linh Th¯
2429	65	Tinh Linh Th¯
2430	75	Tinh Linh Th¯
2431	85	Tinh Linh Th¯
2432	95	Tinh Linh Th¯
2433	5	C¦m Mao ThØ
2434	45	C¦m Mao ThØ
2435	55	C¦m Mao ThØ
2436	65	C¦m Mao ThØ
2437	75	C¦m Mao ThØ
2438	85	C¦m Mao ThØ
2439	95	C¦m Mao ThØ
2440	5	Ða NgoÕn Hùng
2441	20	YY Hùng
2442	5	Mão Nh§t Tinh
2443	5	Cüng Thiên thï
2444	5	Ðông Phong Loa
2445	75	Tinh Hà Ng÷c Th¯
2446	85	CØu Thiên Ng÷c Th¯
2447	5	Ng÷c Th¯
2448	45	Th¥n Tinh Ng÷c Th¯
2449	55	Nguy®t Quª Ng÷c Th¯
2450	65	Thiên Cung Ng÷c Th¯
2451	5	Bách Biªn Miêu
2452	45	Bách Biªn Miêu
2453	55	Bách Biªn Miêu
2454	65	Bách Biªn Miêu
2455	75	Bách Biªn Miêu
2456	85	Bách Biªn Miêu
2457	95	Bách Biªn Miêu
2458	5	Chuµt kh±ng l°
2459	5	Nhân Ngçu
2460	45	Toàn Linh Nhân Ngçu
2461	55	Tinh Minh Nhân Ngçu
2462	65	Vû Huy«n Nhân Ngçu
2463	75	Diêm Th¥n Nhân Ngçu
2464	85	Phàn Thánh Nhân Ngçu
2465	95	Thông Thiên Nhân Ngçu
2466	5	Ð§u Ð§u Long
2467	45	Ð§u Ð§u Long
2468	55	Ð§u Ð§u Long
2469	65	Ð§u Ð§u Long
2470	75	Ð§u Ð§u Long
2471	85	Ð§u Ð§u Long
2472	95	Ð§u Ð§u Long
2473	5	Xu¤t Vân Long Mãng
2474	45	Xu¤t Vân Long Mãng
2475	55	Xu¤t Vân Long Mãng
2476	65	Xu¤t Vân Long Mãng
2477	75	Xu¤t Vân Long Mãng
2478	85	Xu¤t Vân Long Mãng
2479	95	Xu¤t Vân Long Mãng
2480	20	Mèo Du CØu Manh Manh
2481	5	NgÕo Vân Thß½ng Long
2482	45	NgÕo Vân Thß½ng Long
2483	55	NgÕo Vân Thß½ng Long
2484	65	NgÕo Vân Thß½ng Long
2485	75	NgÕo Vân Thß½ng Long
2486	85	NgÕo Vân Thß½ng Long
2487	95	NgÕo Vân Thß½ng Long
2488	5	Thái C± Long H°n
2489	45	Thái C± Long H°n
2490	55	Thái C± Long H°n
2491	65	Thái C± Long H°n
2492	75	Thái C± Long H°n
2493	85	Thái C± Long H°n
2494	95	Thái C± Long H°n
2500	85	Äo Hóa Bång Yêu
2501	85	Äo Hóa Tôn MÛ MÛ
2502	85	Äo Hóa Thüy Phï Ð¥u Lînh
2503	85	Äo Hóa Thüy Phï Ð¥u Lînh
2504	85	Äo Hóa Bång Yêu
2505	85	Äo Hóa Tôn MÛ MÛ
2506	85	Äo Hóa Tôn MÛ MÛ
2507	85	Äo Hóa Bång Yêu
2508	85	Äo Hóa Thüy Phï Ð¥u Lînh
2509	85	Äo Hóa Tôn MÛ MÛ
2510	85	Äo Hóa Bång Yêu
2511	85	Äo Hóa Thüy Phï Ð¥u Lînh
2512	85	Äo Hóa Tôn MÛ MÛ
2513	85	Äo Hóa Tôn MÛ MÛ
2514	85	Äo Hóa Thüy Phï Ð¥u Lînh
2515	85	Äo Hóa Bång Yêu
2516	85	Äo Hóa Tôn MÛ MÛ
2517	85	Äo Hóa Bång Yêu
2518	85	Äo Hóa Bång Yêu
2519	85	Äo Hóa Tôn MÛ MÛ
2520	85	Äo Hóa Bång Yêu
2521	85	Äo Hóa Tôn MÛ MÛ
2522	85	Äo Hóa Tôn MÛ MÛ
2523	85	Äo Hóa Tôn MÛ MÛ
2524	85	Äo Hóa Bång Yêu
2525	85	Äo Hóa Tôn MÛ MÛ
2526	85	Äo Hóa Bång Yêu
2527	85	Äo Hóa Bång Yêu
2528	85	Äo Hóa Tôn MÛ MÛ
2529	85	Äo Hóa Thüy Phï Ð¥u Lînh
2530	85	Äo Hóa Bång Yêu
2531	85	Äo Hóa Tôn MÛ MÛ
2532	85	Äo Hóa Thüy Phï Ð¥u Lînh
2533	85	Äo Hóa Bång Yêu
2534	85	Äo Hóa Bång Yêu
2535	95	Äo Hóa T¥n Vß½ng
2536	95	Äo Hóa Vi­n C± KÏ H°n
2537	95	Äo Hóa Vi­n C± KÏ H°n
2538	95	Äo Hóa T¥n Vß½ng
2539	95	Äo Hóa T¥n Vß½ng
2540	95	Äo Hóa Vi­n C± KÏ H°n
2541	95	Äo Hóa Cáp ÐÕi Bá
2542	95	Äo Hóa T¥n Vß½ng
2543	95	Äo Hóa Vi­n C± KÏ H°n
2544	95	Äo Hóa Cáp ÐÕi Bá
2545	95	Äo Hóa T¥n Vß½ng
2546	95	Äo Hóa Cáp ÐÕi Bá
2547	95	Äo Hóa Cáp ÐÕi Bá
2548	95	Äo Hóa Vi­n C± KÏ H°n
2549	95	Äo Hóa T¥n Vß½ng
2550	95	Äo Hóa Vi­n C± KÏ H°n
2551	95	Äo Hóa Vi­n C± KÏ H°n
2552	95	Äo Hóa T¥n Vß½ng
2553	95	Äo Hóa T¥n Vß½ng
2554	95	Äo Hóa T¥n Vß½ng
2555	95	Äo Hóa Vi­n C± KÏ H°n
2556	95	Äo Hóa T¥n Vß½ng
2557	95	Äo Hóa Vi­n C± KÏ H°n
2558	95	Äo Hóa Vi­n C± KÏ H°n
2559	95	Äo Hóa T¥n Vß½ng
2560	95	Äo Hóa Cáp ÐÕi Bá
2561	95	Äo Hóa Vi­n C± KÏ H°n
2562	95	Äo Hóa T¥n Vß½ng
2563	95	Äo Hóa Cáp ÐÕi Bá
2564	95	Äo Hóa Vi­n C± KÏ H°n
2565	95	Äo Hóa Vi­n C± KÏ H°n
2566	85	Äo Hóa Tôn MÛ MÛ
2567	95	Äo Hóa T¥n Vß½ng
2568	85	Äo Hóa Bång Yêu
2569	95	Äo Hóa Vi­n C± KÏ H°n
2570	85	Äo Hóa Tôn MÛ MÛ
2571	95	Äo Hóa T¥n Vß½ng
2572	85	Äo Hóa Bång Yêu
2573	95	Äo Hóa Vi­n C± KÏ H°n
2574	85	Äo Hóa Bång Yêu
2575	95	Äo Hóa Vi­n C± KÏ H°n
2576	85	Äo Hóa Bång Yêu
2577	85	Äo Hóa Thüy Phï Ð¥u Lînh
2578	95	Äo Hóa Cáp ÐÕi Bá
2579	85	Äo Hóa Tôn MÛ MÛ
2580	95	Äo Hóa T¥n Vß½ng
2581	85	Äo Hóa Tôn MÛ MÛ
2582	95	Äo Hóa T¥n Vß½ng
2583	85	Äo Hóa Tôn MÛ MÛ
2584	95	Äo Hóa T¥n Vß½ng
2585	85	Äo Hóa Bång Yêu
2586	95	Äo Hóa Vi­n C± KÏ H°n
2587	85	Äo Hóa Bång Yêu
2588	95	Äo Hóa Vi­n C± KÏ H°n
2589	85	Äo Hóa Tôn MÛ MÛ
2590	95	Äo Hóa T¥n Vß½ng
2591	85	Äo Hóa Tôn MÛ MÛ
2592	95	Äo Hóa T¥n Vß½ng
2593	85	Äo Hóa Tôn MÛ MÛ
2594	85	Äo Hóa Tôn MÛ MÛ
2595	95	Äo Hóa T¥n Vß½ng
2596	85	Äo Hóa Thüy Phï Ð¥u Lînh
2597	95	Äo Hóa Cáp ÐÕi Bá
2598	85	Äo Hóa Bång Yêu
2599	95	Äo Hóa Vi­n C± KÏ H°n
2600	85	Äo Hóa Bång Yêu
2601	95	Äo Hóa Vi­n C± KÏ H°n
2602	85	Äo Hóa Bång Yêu
2603	95	Äo Hóa Vi­n C± KÏ H°n
2604	85	Äo Hóa Tôn MÛ MÛ
2605	95	Äo Hóa T¥n Vß½ng
2606	85	Äo Hóa Tôn MÛ MÛ
2607	95	Äo Hóa T¥n Vß½ng
2608	85	Äo Hóa Thüy Phï Ð¥u Lînh
2609	95	Äo Hóa Cáp ÐÕi Bá
2610	85	Äo Hóa Tôn MÛ MÛ
2611	95	Äo Hóa T¥n Vß½ng
2612	85	Äo Hóa Bång Yêu
2613	85	Äo Hóa Bång Yêu
2614	95	Äo Hóa Vi­n C± KÏ H°n
2615	85	Äo Hóa Tôn MÛ MÛ
2616	95	Äo Hóa T¥n Vß½ng
2617	85	Äo Hóa Bång Yêu
2618	95	Äo Hóa Vi­n C± KÏ H°n
2619	85	Äo Hóa Tôn MÛ MÛ
2620	95	Äo Hóa T¥n Vß½ng
2621	85	Äo Hóa Bång Yêu
2622	95	Äo Hóa Vi­n C± KÏ H°n
2623	85	Äo Hóa Bång Yêu
2624	95	Äo Hóa Vi­n C± KÏ H°n
2625	85	Äo Hóa Bång Yêu
2626	95	Äo Hóa Vi­n C± KÏ H°n
2627	85	Äo Hóa Bång Yêu
2628	95	Äo Hóa Vi­n C± KÏ H°n
2629	85	Äo Hóa Bång Yêu
2630	95	Äo Hóa Vi­n C± KÏ H°n
2631	85	Äo Hóa Bång Yêu
2632	95	Äo Hóa Vi­n C± KÏ H°n
2633	85	Äo Hóa Tôn MÛ MÛ
2634	85	Äo Hóa Tôn MÛ MÛ
2635	95	Äo Hóa T¥n Vß½ng
2636	85	Äo Hóa Thüy Phï Ð¥u Lînh
2637	95	Äo Hóa Cáp ÐÕi Bá
2638	95	Äo Hóa Vi­n C± KÏ H°n
2639	95	Äo Hóa Vi­n C± KÏ H°n
2640	95	Äo Hóa Cáp ÐÕi Bá
2641	95	Äo Hóa Cáp ÐÕi Bá
2654	85	Äo Hóa Bång Yêu
2655	95	Äo Hóa Vi­n C± KÏ H°n
2656	85	Äo Hóa Thüy Phï Ð¥u Lînh
2657	95	Äo Hóa Cáp ÐÕi Bá
2658	85	Äo Hóa Bång Yêu
2659	95	Äo Hóa Vi­n C± KÏ H°n
2700	5	Chuµt ð°ng
2701	45	Chuµt ð°ng
2702	55	Chuµt ð°ng
2703	65	Chuµt ð°ng
2704	75	Chuµt ð°ng
2705	85	Chuµt ð°ng
2706	95	Chuµt ð°ng
2707	5	Chuµt Phá Phách
2708	45	Chuµt Phá Phách
2709	55	Chuµt Phá Phách
2710	65	Chuµt Phá Phách
2711	75	Chuµt Phá Phách
2712	85	Chuµt Phá Phách
2713	95	Chuµt Phá Phách
2714	5	Miªt Ti¬u Manh
2715	45	Miªt Ti¬u Manh
2716	55	Miªt Ti¬u Manh
2717	65	Miªt Ti¬u Manh
2718	75	Miªt Ti¬u Manh
2719	85	Miªt Ti¬u Manh
2720	95	Miªt Ti¬u Manh
2721	20	C¥u C¥u Hùng
2722	5	MÛ Nhân Ngß
2723	45	MÛ Nhân Ngß
2724	55	MÛ Nhân Ngß
2725	65	MÛ Nhân Ngß
2726	75	MÛ Nhân Ngß
2727	85	MÛ Nhân Ngß
2728	95	MÛ Nhân Ngß
2729	5	Thiên B°ng Lãm Nguy®t
2730	45	Thiên B°ng Lãm Nguy®t
2731	55	Thiên B°ng Lãm Nguy®t
2732	65	Thiên B°ng Lãm Nguy®t
2733	75	Thiên B°ng Lãm Nguy®t
2734	85	Thiên B°ng Lãm Nguy®t
2735	5	CØu Lê Yêu H±
2736	45	CØu Lê Yêu H±
2737	55	CØu Lê Yêu H±
2738	65	CØu Lê Yêu H±
2739	75	CØu Lê Yêu H±
2740	85	CØu Lê Yêu H±
2741	95	CØu Lê Yêu H±
2742	5	Hiên Viên Thiên Phßþng
2743	45	Hiên Viên Thiên Phßþng
2744	55	Hiên Viên Thiên Phßþng
2745	65	Hiên Viên Thiên Phßþng
2746	75	Hiên Viên Thiên Phßþng
2747	85	Hiên Viên Thiên Phßþng
2748	95	Hiên Viên Thiên Phßþng
2749	5	Bách Biªn Uông TØ
2750	45	Bách Biªn Uông TØ
2751	55	Bách Biªn Uông TØ
2752	65	Bách Biªn Uông TØ
2753	75	Bách Biªn Uông TØ
2754	85	Bách Biªn Uông TØ
2755	95	Bách Biªn Uông TØ
